UMAP_1,UMAP_2,UMAP_3,UMAP_4,UMAP_5,UMAP_6,UMAP_7,UMAP_8,UMAP_9,UMAP_10,UMAP_11,UMAP_12,UMAP_13,UMAP_14,UMAP_15,UMAP_16,UMAP_17,UMAP_18,UMAP_19,UMAP_20,UMAP_21,UMAP_22,UMAP_23,UMAP_24,UMAP_25,UMAP_26,UMAP_27,UMAP_28,UMAP_29,UMAP_30,UMAP_31,UMAP_32,UMAP_33,UMAP_34,UMAP_35,UMAP_36,UMAP_37,UMAP_38,UMAP_39,UMAP_40,UMAP_41,UMAP_42,UMAP_43,UMAP_44,UMAP_45,UMAP_46,UMAP_47,UMAP_48,UMAP_49,UMAP_50
7.3855696,6.261308,5.060234,6.1653085,8.073342,1.7974057,3.879646,8.044181,6.0384336,7.4620614,3.7027907,9.168872,5.101819,6.1449833,7.187934,6.008308,5.5220013,6.0322013,8.364862,4.381659,3.0637996,5.0422435,4.5566926,3.4884796,6.2445793,6.255726,6.903057,5.619381,4.210066,5.2991357,6.3755603,6.651515,4.01032,4.624097,1.5122122,4.716918,7.6711574,5.0495057,4.7498627,4.771968,4.22777,3.4613988,6.3798704,3.0875537,6.5303426,1.4245951,7.1639643,4.895822,3.337918,5.2689385
7.696406,6.6346364,5.2161145,5.613021,8.108037,2.1903229,3.795082,8.033343,6.1073394,7.3897963,3.9789524,9.123026,4.8254714,5.8359866,7.3444686,5.80639,5.832449,6.1009316,8.018152,4.577403,2.7417402,4.7714725,4.2517824,3.7387547,6.077483,6.3511233,6.7789497,5.935571,4.361092,5.4202003,6.5900846,6.4563303,4.1552787,4.801498,1.3602952,4.7863975,7.7334547,5.2203183,4.850216,4.407465,4.2205305,3.3591452,6.230432,3.1163652,6.4282312,1.557148,7.0279193,4.6672454,3.5303378,5.4512486
8.358038,7.322608,5.6090865,5.072111,7.459824,2.0648422,4.0817394,7.6159387,6.168575,7.252725,4.2788067,8.383712,5.1784015,5.999307,7.514157,5.4498315,5.7342463,6.026256,7.7731023,4.9266696,2.9929001,4.712,4.2233667,3.2844114,6.57659,6.7329836,6.399402,5.9457707,3.7244139,5.0193386,6.237061,6.6505227,4.672021,5.0332947,1.4795756,4.054815,7.486549,5.3746586,4.4488206,4.999849,4.326895,3.6100934,5.4956307,2.7681804,5.849836,1.8948963,7.5588903,4.6565623,4.380392,4.937618
7.478088,6.3739634,5.493065,5.832006,8.019617,2.0237885,3.7391257,8.163184,6.4160795,7.756019,3.4956276,8.663482,4.563283,6.0285654,7.4079866,5.940757,5.5274177,5.673406,8.432838,4.7203336,3.2516854,5.1581798,4.45979,3.355314,6.214404,6.2815795,6.9456882,5.627153,4.2949514,5.243014,6.592971,6.5204396,3.9964488,4.529998,1.545183,4.503934,7.9872932,5.252994,4.9927,4.537377,4.500294,3.393801,6.431094,3.1107886,6.6001525,1.5449708,7.0828667,4.9168754,3.491372,5.299481
7.1409955,7.1479645,5.4861917,5.7092514,7.796408,2.0454814,3.9289253,7.727227,6.111422,7.100489,4.156025,9.0761175,5.356989,6.073933,7.2647743,5.827583,5.54168,6.2370954,7.638612,4.638271,2.8904638,4.883612,4.5282125,3.5756748,6.152488,6.3569584,6.50272,5.523514,4.096725,5.357816,6.232286,6.629024,4.3641047,4.7321987,1.7117412,4.537937,7.399822,5.0432816,4.607498,4.9355884,4.0622053,3.4981852,5.805796,3.039335,6.016502,1.6901776,7.4948936,4.3762937,3.784917,5.082159
7.5079694,5.974796,5.0656743,6.236153,8.272124,2.0053596,3.7268114,7.958588,6.2331195,7.550859,3.4209466,8.80445,4.834465,6.162569,7.3577294,5.929935,5.5692058,5.6265264,8.449288,4.806705,3.3904052,5.1509585,4.615729,3.322059,6.0464525,6.366244,7.0417056,5.433581,4.244031,5.082715,6.370351,6.6963964,4.025944,4.655743,1.6276156,4.5353894,7.7565336,5.0149674,4.8123827,4.5778112,4.4407377,3.4121995,6.621552,3.2659035,6.534261,1.5557176,7.009911,5.029642,3.4567864,5.2279744
7.845033,6.6214266,4.873772,5.885353,8.070856,1.6703559,4.097612,7.811647,5.539788,7.179554,3.9667475,9.414681,5.5263724,5.9093328,7.2281823,5.6428337,5.905493,6.4754148,8.182561,4.2895546,2.813973,4.639228,4.3078074,3.864301,6.452704,6.597787,6.6087527,5.953897,3.9749389,5.134822,6.2921767,6.819039,4.329167,4.9550037,1.2274209,4.829094,7.470718,5.0155516,4.4655447,5.02903,4.045443,3.408149,6.0681725,3.0778265,6.2272058,1.4909589,7.2013206,4.8473716,3.605254,5.1627746
8.01578,6.288975,5.098269,5.8127685,8.169509,1.9529914,3.7884302,7.858563,6.089454,7.450045,3.559572,8.7286005,4.891502,5.96261,7.522476,5.597011,5.8722157,5.6912723,8.369504,4.851291,3.3063731,4.9748526,4.358152,3.4458709,6.262749,6.6871333,6.759323,5.7585964,4.1112847,4.881304,6.410579,6.7237577,4.2614822,4.9143944,1.3797693,4.4849,7.792642,5.1229596,4.771365,4.7294736,4.489242,3.4433694,6.363895,3.1305256,6.2980533,1.6427531,7.0001097,4.947494,3.7984707,5.174238
7.5483704,6.4216275,5.2514215,6.021722,7.854322,1.6761029,3.93747,7.960958,6.11792,7.4984593,3.62489,8.846344,5.1606526,6.2359953,7.282969,5.8956203,5.4280343,5.843281,8.440238,4.535621,3.334991,5.1673627,4.6016536,3.2388148,6.465917,6.414531,6.7502847,5.545432,3.9723575,5.0744286,6.27599,6.730387,4.1305017,4.6408134,1.561392,4.4172997,7.705363,5.0938616,4.7081504,5.0823226,4.3744617,3.5660532,6.1967835,2.9646528,6.352009,1.5279769,7.3280435,4.920135,3.6209936,5.0336237
7.4857883,6.4150615,5.5734982,5.8802247,7.8481307,1.8655888,3.7305315,8.056321,6.481092,7.751534,3.4271176,8.371667,4.6138415,6.0902925,7.4806786,5.8680096,5.5037236,5.559741,8.41318,4.7792683,3.4261787,5.264031,4.471178,3.2090898,6.3557014,6.3593106,6.8909664,5.519668,4.2616625,5.0704527,6.486052,6.599065,4.0778213,4.551329,1.6479378,4.3359923,7.9432435,5.2683167,4.9569254,4.6860948,4.5540686,3.5035641,6.3278303,2.9556222,6.4982758,1.5856016,7.195618,4.910758,3.6463094,5.2262797
