UMAP_1,UMAP_2,UMAP_3,UMAP_4,UMAP_5,UMAP_6,UMAP_7,UMAP_8,UMAP_9,UMAP_10,UMAP_11,UMAP_12,UMAP_13,UMAP_14,UMAP_15,UMAP_16,UMAP_17,UMAP_18,UMAP_19,UMAP_20,UMAP_21,UMAP_22,UMAP_23,UMAP_24,UMAP_25,UMAP_26,UMAP_27,UMAP_28,UMAP_29,UMAP_30,UMAP_31,UMAP_32,UMAP_33,UMAP_34,UMAP_35,UMAP_36,UMAP_37,UMAP_38,UMAP_39,UMAP_40,UMAP_41,UMAP_42,UMAP_43,UMAP_44,UMAP_45,UMAP_46,UMAP_47,UMAP_48,UMAP_49,UMAP_50
9.810374,8.692808,5.6750965,9.236997,6.8764267,1.5380448,7.0663347,4.312031,6.039064,3.4132917,3.865442,9.629639,5.611619,5.3853264,8.227214,6.93766,9.080895,7.2844095,3.7049582,5.432083,3.4186738,5.697433,5.9967256,5.8731585,6.274898,5.447916,5.041439,4.882562,6.4097047,7.117489,6.69408,5.362062,0.67378,5.3714848,6.621718,5.7038918,4.270733,4.3078756,5.690805,4.447863,3.1810474,3.9861448,4.2493534,7.1487045,7.488778,6.17611,4.1913567,7.1251087,5.6357613,3.56285
9.145989,8.444021,5.6482525,8.982074,6.7773285,1.7063235,6.9513016,4.290011,6.471214,3.6934166,3.8633153,9.197313,5.656759,5.7321725,8.675589,7.181872,8.624365,7.018333,3.3621795,5.860033,3.596572,5.8736444,6.09035,5.6482825,6.4152737,5.3746786,5.642717,5.3244653,6.4967947,7.1617565,7.45188,4.937915,0.99724823,5.558167,6.356072,5.981978,4.2292504,4.50544,5.8984227,4.4273043,3.2658207,4.4171205,3.8256013,7.0312576,8.143753,5.912243,4.515075,7.0562153,5.817264,3.4749062
9.351606,8.852883,5.4416604,9.008149,7.2378597,1.9422032,7.2255974,4.6552167,6.130026,3.785891,3.9742312,9.52905,5.643914,5.084151,8.336138,6.919943,8.440234,6.880595,3.765321,5.5361223,3.4874575,5.702304,6.2072396,5.3183827,6.0984006,5.324149,5.546119,4.7515087,6.111509,6.7922893,6.8162847,4.796636,1.1737064,5.488639,6.5496383,6.0054607,4.2560854,4.4503946,5.912301,4.1171308,3.4491143,4.083798,4.255077,6.657619,7.603194,6.268539,4.2503734,6.685867,5.500802,3.747183
9.694716,8.852823,5.721619,9.164631,7.0558777,1.6583694,6.944963,4.479952,6.239615,3.7577658,3.716307,9.510929,5.525378,5.3108277,8.496542,7.157132,8.621687,7.1976986,3.60136,5.6418076,3.4474635,5.6330657,6.123862,5.7701173,6.289996,5.2679095,5.3768,4.8693833,6.336248,6.876102,7.0310097,4.9428053,0.8976925,5.4504285,6.412579,5.7846184,4.2779255,4.4389095,5.9587297,4.292503,3.3809888,4.0312915,4.071909,6.8390946,7.5090017,6.037709,4.258631,6.980475,5.7251687,3.5944946
9.46507,8.813446,5.438588,9.0008335,7.113706,1.7713467,7.305699,4.558929,6.0910177,3.653638,3.958704,9.536811,5.610014,5.181273,8.200277,6.7946925,8.641518,6.935354,3.7278383,5.452729,3.4571896,5.771237,6.144392,5.3306174,6.028964,5.504383,5.4310875,4.7288866,6.225088,6.897049,6.662608,5.017165,1.0533912,5.419641,6.7179813,6.0095587,4.213728,4.395783,5.74132,4.235264,3.340344,4.0724487,4.2967844,6.749439,7.5402656,6.5051503,4.24452,6.7794023,5.4807005,3.6794982
9.894759,8.881537,5.8220053,8.932035,6.824872,1.5296503,7.2171364,4.3662744,6.2469997,3.776682,3.8920617,9.200972,5.7330194,5.5032415,8.034286,6.500454,8.6931505,6.967923,3.4667385,5.291393,3.2180016,5.8950467,5.8623967,5.5539308,5.7108335,5.575546,5.322437,4.6054797,6.367741,6.908932,6.5467596,5.045675,1.216782,5.0911636,6.741613,5.9078164,4.10945,4.3307533,5.623453,4.5782337,3.179371,4.1129,4.177293,6.835291,7.2967353,6.522474,4.416527,6.7934666,5.405159,3.7924404
9.802275,8.919305,5.427177,9.361585,7.163802,1.8079165,7.139823,4.631876,5.7680807,3.5110874,3.973159,9.941828,5.61233,4.9525104,8.075576,6.856718,8.9022875,7.240221,4.003134,5.274069,3.4282181,5.476569,6.1507654,5.670877,6.2500167,5.2597775,4.9970326,4.550547,6.1117835,6.9195127,6.275413,5.2118287,0.74924046,5.4937572,6.6362414,5.6052594,4.4265246,4.3037295,5.8496947,4.1633015,3.3583717,3.7309356,4.5535235,6.909679,7.184821,6.3535643,3.934046,6.904534,5.4794526,3.78694
9.321746,8.650466,5.683356,9.119815,6.9675355,1.7800988,6.721203,4.482454,6.5118165,4.216352,3.6587749,9.367514,5.565821,5.348903,8.785689,7.4074073,8.215503,7.1557355,3.420424,5.8914,3.533678,5.6084433,6.1557403,5.8115697,6.4266562,5.0458302,5.693944,5.1419683,6.285082,6.8804317,7.448845,4.528994,1.120752,5.627221,6.0623817,5.7940955,4.348765,4.568731,6.26217,4.28844,3.4308147,4.1750693,3.8641531,6.7854533,7.823887,5.567995,4.3300443,6.950723,5.8820944,3.671146
10.049821,8.620192,6.203497,8.9367695,6.3433995,1.2005874,6.85702,4.002194,6.545663,3.7756307,3.7281613,8.893873,5.781787,6.0758557,8.181272,6.5110855,8.918156,7.1890244,3.0736992,5.4221296,3.1467488,6.0388947,5.5851464,6.016009,5.826649,5.631277,5.211466,4.936201,6.7220616,7.2214828,6.8503375,5.22688,1.0968199,4.985894,6.6171274,5.7268996,4.093238,4.274361,5.580918,4.9897985,2.9116778,4.2848897,3.8201854,7.221,7.5001264,6.189202,4.6418123,7.134613,5.6290526,3.699715
9.651269,8.700738,5.473793,9.303682,7.030092,1.7273145,7.0822706,4.470203,6.006676,3.6274579,3.860244,9.778913,5.5919704,5.120929,8.2576685,7.1181307,8.890285,7.2756577,3.8278797,5.456509,3.4695463,5.5343637,6.1373506,5.8207464,6.336002,5.255457,5.162405,4.847058,6.2029757,6.964637,6.7124534,5.1625648,0.72703075,5.513508,6.4514194,5.687877,4.3538427,4.420811,5.8879066,4.271969,3.3333817,3.899255,4.3526096,6.981222,7.4251986,6.03515,4.032961,7.016168,5.6400027,3.660064
9.784666,8.468343,6.1984625,8.864166,6.3060184,1.3541185,6.734362,3.941497,6.6051273,3.707755,3.8152387,8.805057,5.8682947,6.139608,8.207548,6.444551,8.951655,7.1217375,3.084815,5.4577622,3.184095,6.0917597,5.5089355,5.9963303,5.90471,5.6411185,5.224671,5.0789914,6.7292566,7.335214,6.90599,5.235144,1.1445516,5.044376,6.651301,5.7545576,4.140395,4.2014813,5.5890493,5.027085,2.8588672,4.4507003,3.7081833,7.3481727,7.7352986,6.1083937,4.8080354,7.1252565,5.625605,3.7264302
9.726057,8.424505,5.7273626,9.266093,6.578553,1.5118517,6.9216394,4.1036625,6.2054396,3.5163662,3.8532016,9.467627,5.720871,5.6073394,8.210842,7.0095415,9.196536,7.3811984,3.5533552,5.443587,3.3928075,5.6977806,5.865476,6.1594944,6.3390837,5.381102,5.03009,5.1064615,6.4651155,7.2493434,6.822229,5.4015,0.6564545,5.3662105,6.4437914,5.601846,4.3072248,4.3578434,5.728385,4.678083,3.0845635,4.120589,4.1263437,7.353127,7.593019,5.882882,4.268437,7.2437363,5.7173014,3.5883265
9.501919,8.918985,5.4456573,9.117155,7.289707,1.939385,7.135426,4.7218256,6.0983,3.9521217,3.8802092,9.66091,5.60889,4.928481,8.3110485,6.989867,8.396264,7.0006013,3.8209145,5.494527,3.4399917,5.5632863,6.220201,5.4475408,6.1047034,5.186812,5.4788013,4.647317,6.018735,6.6990027,6.7307715,4.744345,1.136202,5.5060935,6.4341073,5.864008,4.31768,4.4771147,6.0393133,4.0772066,3.4893427,3.9180515,4.3301854,6.602768,7.3818336,6.1312466,4.099431,6.6905117,5.5231247,3.8496854
9.930128,8.756746,6.4320326,9.025182,6.672513,1.4253421,6.3912606,4.103838,6.6308208,3.6982524,3.586476,8.971902,5.6573224,6.0233135,8.718042,6.929666,8.773917,7.2721057,3.1553094,5.789934,3.3124695,5.893172,5.7270794,6.171895,6.3294587,5.341545,5.255809,5.1499586,6.7483478,7.175482,7.3873043,5.074204,0.9424453,5.240368,6.3723035,5.6507154,4.202739,4.2613873,5.910833,4.7203326,3.0867038,4.3320146,3.5211172,7.2438855,7.776939,5.6685014,4.7475786,7.23108,5.8840117,3.5516686
10.11742,8.921384,5.9331136,8.916115,6.658061,1.3492755,7.251653,4.302507,6.3710713,4.0268493,3.774977,9.04449,5.7295756,5.6354256,7.943853,6.450363,8.619216,7.0191927,3.2895012,5.2255635,3.0926442,5.9066153,5.781535,5.656184,5.5033674,5.5803566,5.3714933,4.516747,6.4164925,6.8354,6.525804,4.9844155,1.3145189,4.9439554,6.679246,5.8651667,4.052936,4.3992786,5.6144056,4.7473855,3.1517518,4.093645,4.144304,6.759227,7.070014,6.5721664,4.4210467,6.7914925,5.4007235,3.856658
9.593234,8.324559,6.088487,8.927066,6.202076,1.2981638,6.7652984,3.927166,6.814109,4.015862,3.6570022,8.722647,5.7548194,6.2826214,8.503347,6.929722,8.721996,7.1980677,2.8956993,5.734922,3.3070738,6.005841,5.6930094,6.078647,6.0993257,5.4518538,5.5571485,5.3376613,6.7715898,7.275083,7.442541,5.0058894,1.1258365,5.205033,6.2785954,5.7838836,4.138372,4.486827,5.801536,5.0031815,3.0002253,4.5281086,3.567544,7.228227,7.888947,5.823666,4.7506065,7.2137046,5.8618917,3.5818682
