UMAP_1,UMAP_2,UMAP_3,UMAP_4,UMAP_5,UMAP_6,UMAP_7,UMAP_8,UMAP_9,UMAP_10
9.351244,8.840436,6.6899986,-1.4550673,-7.843194,7.98179,4.6927996,-0.7326287,6.935116,-1.480202
8.170319,9.641827,7.0489,-0.99817306,-8.389415,7.907342,4.7940936,-1.2579094,8.149448,-1.3732901
9.338872,10.016271,7.4522715,-0.42022625,-7.550709,8.084256,4.5400147,-0.4551642,7.2931867,-0.85683876
9.2024765,9.311463,6.8532467,-0.5607606,-8.0579605,8.007571,5.0325985,-1.0764688,7.2788925,-1.093526
9.484906,9.811592,7.462001,-0.70857394,-7.435906,8.179938,4.2265325,-0.48144516,7.292389,-1.0272151
9.980457,9.202356,6.8670263,-0.51827765,-7.3184943,8.380039,3.842453,-1.0266739,7.571162,-1.4862998
10.065233,9.133725,6.8440895,-1.2335489,-7.3141074,8.345497,4.5224433,-0.56182784,6.20028,-0.9898745
8.598877,9.825699,7.0445666,0.46453342,-7.64048,7.7047386,5.4830055,-0.71865404,7.6245437,-0.65870714
9.613133,8.462085,5.965967,-0.7284603,-7.9841814,8.300041,3.8569305,-1.8030565,8.095038,-2.0681906
9.132561,9.203779,6.989046,-0.8941896,-7.5037165,7.8234076,5.1527123,-0.46373665,6.841709,-1.0207596
9.347768,8.558597,5.896498,-0.7901638,-8.20318,8.259392,3.7042222,-1.7532073,8.407173,-2.201359
8.944599,8.496525,6.31762,-1.3975346,-7.9201326,7.80329,4.8223305,-0.9081786,7.3518953,-1.7174906
9.457294,9.791572,7.272646,-0.12090261,-7.3087516,7.911581,4.9388123,-0.34793097,6.986018,-0.70294654
8.995685,8.919098,5.800537,-0.46718362,-9.070054,7.8213167,4.876249,-1.7416767,8.073238,-1.8720279
10.112353,8.874426,6.706246,-0.17215838,-6.931194,8.363676,3.8789365,-1.2915344,7.6350884,-1.4336401
8.516712,8.61836,5.980859,-0.5597071,-8.355409,7.9937015,4.2978745,-2.0661128,8.886165,-2.088598
9.332102,9.156287,6.7048335,-1.5199773,-7.531364,8.633518,2.964528,-1.2649075,7.759509,-1.5308372
8.297994,9.659933,6.981381,-0.8133639,-8.309145,8.011408,4.683021,-1.3612236,8.35623,-1.5250607
9.479256,9.236934,6.2418385,-0.45929962,-8.427549,8.146233,3.961861,-1.1953782,8.21497,-1.9122491
8.602263,9.232753,5.8142424,-0.41091886,-9.263018,7.6187625,4.8779197,-1.477526,8.120719,-1.5558935
9.275433,9.977672,7.633945,-0.8541851,-7.5129313,8.203905,4.3429103,-0.5101927,7.3545485,-1.0684383
8.619165,8.728395,6.1467266,-0.9369367,-8.257263,8.165235,3.9673114,-1.9019706,8.64543,-2.010672
9.517931,9.309502,7.1879,-1.1908898,-7.853182,8.140238,4.6718893,-0.7043486,7.0830574,-1.425261
9.118833,8.693414,5.8336024,0.024508217,-8.455495,7.772711,4.8134437,-1.665832,8.252752,-1.7773546
9.666696,8.925624,6.3432894,-0.8040048,-7.9612145,8.34163,3.551899,-1.1988356,8.1547785,-2.033482
9.685975,9.851245,7.516652,-0.95287573,-7.5762153,8.265223,4.2231956,-0.41188833,7.171047,-1.240272
9.485708,8.944661,6.691817,-1.1834117,-8.320106,8.106515,4.876148,-1.2631909,7.1651955,-1.6057202
9.0477705,8.368625,5.4593353,-0.64748496,-8.552089,8.188485,3.9003525,-2.2474675,8.476227,-2.069582
7.9184237,9.0724535,6.560948,-0.8005429,-8.402169,7.9606113,4.508318,-1.8372333,8.951821,-1.7756867
8.567232,8.628039,5.9057717,-0.4565443,-8.305981,7.9600387,4.2271113,-2.0055177,8.89228,-2.08836
8.759696,8.4302,5.8036304,-0.8722072,-8.40969,8.007254,4.401253,-1.9354852,8.270914,-1.9545261
8.718528,9.721173,7.2315807,-0.49723452,-7.8929644,7.889715,5.0034227,-0.8191774,7.7218094,-1.1319488
9.610267,9.37508,7.152094,-1.1845474,-7.324462,8.184266,4.137545,-0.4818674,6.8810153,-1.1081156
9.646235,9.510736,7.2106977,-1.3445833,-7.5845838,8.436641,3.8021154,-0.8143127,7.1399283,-1.3310931
9.522869,9.539174,7.0473714,-0.30171913,-7.5454783,7.8533635,5.1084533,-0.43997052,6.758202,-0.7198971
9.290954,9.097301,6.6341114,-1.5967572,-7.579047,8.665117,2.9292374,-1.395185,7.742137,-1.5266159
9.451333,9.482453,7.1949873,-1.2729123,-7.8009324,8.472434,3.6773794,-0.9398736,7.604202,-1.4510723
9.488928,9.466056,6.964824,-0.51541305,-7.694564,7.915991,4.932421,-0.6220258,6.8015656,-0.8030254
9.392479,9.854707,7.3194284,-0.17395745,-7.260921,8.014929,4.4453206,-0.35603,7.4143023,-0.8822085
9.368225,8.899628,6.2511306,-0.56441164,-8.52042,7.9019923,5.1422825,-1.4582164,7.2957764,-1.4222658
8.471492,8.86426,5.970319,-0.2355034,-8.406537,8.059925,4.390203,-2.0745988,8.657335,-1.5707039
9.247201,8.867171,6.070105,-0.6887086,-8.290407,8.048032,4.5203924,-1.4644618,7.433909,-1.3515195
9.156319,8.689328,5.8842583,-0.38954383,-8.2941265,8.216743,3.9383366,-1.8482487,8.54777,-1.9106625
8.685869,8.363844,5.512208,-0.7361304,-8.6127405,8.02122,4.1876483,-2.1634567,8.613231,-2.1353111
9.577774,9.269288,6.3956637,-0.30720297,-8.506952,7.962152,4.663504,-1.1194934,7.9583883,-1.9281839
9.07092,8.505021,5.70697,-0.8047723,-8.377607,8.257663,3.7036557,-2.0230079,8.463971,-2.0464227
9.638242,9.412488,7.205546,0.06628134,-5.047872,7.6832237,3.1051905,0.4912663,7.401109,-0.44002107
8.866143,9.185897,6.98638,-0.7272261,-8.254849,7.953453,5.130384,-1.4179511,8.036418,-1.7566047
8.451197,8.771015,6.014765,-0.1179466,-8.694336,7.9964523,4.778535,-2.242486,8.951968,-1.8511145
9.1761675,8.945818,6.240544,-0.31223214,-8.479714,8.13331,4.3425593,-1.7482207,8.709921,-2.166853
9.261683,8.620515,5.9524794,-0.56808907,-8.124083,8.346844,3.7514942,-1.9532976,8.35595,-1.8014307
8.956249,9.116373,6.0474024,-0.24380882,-8.967891,7.7759223,4.922404,-1.5629754,8.310613,-1.8787167
9.701404,8.978848,6.018591,-0.67550355,-8.506014,8.370464,4.0745597,-1.8572816,7.5844684,-1.6409523
9.650495,9.436068,7.2342944,0.019273091,-5.208128,7.743162,3.170324,0.41851124,7.342508,-0.50756204
8.790678,9.371526,6.4826274,-0.72123146,-8.542147,7.957175,4.749475,-1.3955231,7.45751,-0.98859096
9.353823,9.895989,7.3497696,-0.0015727156,-7.2392454,7.905411,4.8974442,-0.3053829,7.1193433,-0.6611853
8.795049,9.100683,5.967264,-0.25088778,-8.821611,7.9848576,4.518994,-1.8468916,8.331222,-1.4961385
9.488308,8.976279,6.2190194,-0.43457115,-8.296476,8.175684,4.0129642,-1.3852906,8.570753,-2.2872648
9.056693,8.855961,6.3532653,-0.6441626,-8.661505,8.015987,4.7935247,-1.7880096,8.463867,-2.253835
9.183391,8.770909,5.606889,-0.51001513,-8.945359,7.9864845,4.4876013,-1.9118946,8.089153,-1.9572765
9.13883,9.155672,6.3856654,-0.8816188,-8.194026,8.020005,4.6934,-1.2709101,7.2071714,-1.2552975
9.533126,9.659493,7.24967,-0.3386539,-6.977297,8.098367,3.985993,-0.33295825,7.4823627,-0.99099654
9.213386,9.086125,6.251056,-0.7382408,-8.396063,8.066619,4.449103,-1.4154165,7.316397,-1.1022676
9.329573,9.2540865,6.5163975,-0.043599613,-8.269607,7.904804,4.7432113,-1.1445146,8.199369,-1.7657475
7.996026,9.26441,6.396817,-0.6194097,-8.72571,7.881774,4.895435,-1.892414,8.498144,-1.4430629
9.164857,8.619925,6.3552213,-1.3667842,-8.080506,7.90929,4.7496367,-0.9254033,7.25658,-1.6771921
9.656411,9.546145,7.3140945,-0.22560844,-6.0560136,7.9472423,3.774917,0.03263588,7.178955,-0.70389086
9.376154,8.36737,5.6987133,-0.6578111,-8.606183,8.060078,4.571403,-2.0033915,8.08244,-2.1855087
9.688577,9.421365,7.2251415,0.016053427,-5.049318,7.754261,3.0679352,0.48503238,7.346482,-0.46857482
7.9737225,9.13436,6.8022738,-1.0137126,-8.546376,7.804669,5.2018538,-1.7010564,8.41083,-1.7110049
9.69993,9.330681,7.164297,-0.1567744,-5.5702143,7.891492,3.2981775,0.09498505,7.3372455,-0.7285807
9.597155,8.762103,6.5150123,-0.50207514,-8.074602,8.449242,4.161649,-1.809121,8.056003,-1.5879717
8.987462,8.627542,6.5955453,-1.5833186,-7.675443,7.8408947,4.822851,-0.68737197,7.038046,-1.5121334
9.405518,9.051832,6.9401774,-1.2669079,-8.027844,8.046169,4.9690623,-0.9691181,6.997632,-1.4918575
9.294002,9.895411,7.361583,-0.28490382,-7.554265,7.9722304,4.801783,-0.44855994,7.259534,-0.85388386
8.216226,9.070885,6.6987453,-0.8705352,-8.419052,7.938669,4.6891866,-1.7465037,8.816577,-2.021688
9.450731,9.450956,7.1087847,-1.2907155,-7.8505516,8.27657,4.3784404,-0.8908486,6.9265704,-1.1535892
9.7870655,9.404784,7.1254187,-0.40507126,-7.103935,8.194833,4.103564,-0.6459277,7.4119062,-1.1970273
8.111091,9.035365,6.7892723,-0.927771,-8.580727,7.829497,5.155035,-1.7807499,8.674446,-1.9729795
9.491695,9.35646,7.0614696,-1.290474,-7.8977766,8.498667,3.6228218,-1.0742865,7.672274,-1.552123
9.199758,9.772284,7.1554933,-1.2428097,-8.275204,8.2153845,4.242244,-0.9256964,7.2197237,-1.0726694
10.122548,9.18914,6.921811,-1.2184112,-7.185629,8.3596945,4.511055,-0.4435756,6.105417,-0.9010019
8.479382,8.856793,6.2479777,-0.32947975,-8.787672,7.9026012,5.034306,-2.076501,8.855983,-2.0291858
9.686152,9.321596,7.160477,-0.13601926,-5.412783,7.853802,3.2242079,0.20381947,7.292797,-0.664335
8.4449215,9.2455225,6.8629313,-1.1425753,-8.421781,8.010756,4.98955,-1.6628606,7.8459635,-1.5017627
9.192965,8.859637,6.394662,-0.78341687,-8.468491,7.9408364,5.2981877,-1.5208435,7.107247,-1.2686685
9.451331,9.522507,7.0573688,-0.30615413,-7.424289,7.899317,4.8636475,-0.5157124,6.938663,-0.7199018
9.675045,8.909548,6.3200207,-1.323174,-7.8442674,8.562399,3.5088363,-1.52043,7.2854195,-1.4673615
9.765631,9.666619,7.3294106,-0.252722,-6.9663224,8.134215,4.215346,-0.42023998,7.2485833,-0.9349087
9.371466,9.260831,7.10212,-1.227774,-7.869173,8.002817,4.842876,-0.6026306,6.983611,-1.3377345
9.028665,9.492515,6.766467,-1.2202802,-8.402139,8.234895,4.365121,-1.3941679,7.302265,-1.1828774
9.632442,9.522159,7.1844015,-0.6155001,-7.1556544,8.018897,4.789137,-0.26385126,6.6374893,-0.7829266
8.8469515,8.720784,5.861874,-0.28827456,-8.315463,7.856046,4.3200994,-1.6334833,8.171941,-1.4047173
9.177722,8.735936,6.1806297,-1.0891731,-7.8876953,8.344534,3.6609511,-1.7685876,7.8295064,-1.5862877
9.187276,9.783,7.2116613,-0.10591436,-7.681668,7.893906,4.9443083,-0.56644154,7.501048,-1.0075291
8.870032,8.377631,5.52464,-0.19445965,-8.66961,8.084361,4.3365035,-2.4080374,8.879682,-2.1480792
8.941109,9.4405365,7.217548,-1.3435153,-7.8589,8.1325245,4.4725657,-0.95336616,7.486124,-1.4222841
7.643953,9.19322,6.6773,-0.912164,-8.432457,7.8664207,4.8063774,-1.8094574,8.774534,-1.5654795
9.3407,9.664899,6.931642,-0.41767815,-7.713419,8.188356,3.7779105,-0.6543603,8.16185,-1.5025609
9.632739,9.279163,7.1305923,-0.11299269,-5.099342,7.843259,3.20106,0.32923165,7.223255,-0.60170203
9.765542,9.699587,7.449182,-0.86899054,-7.364126,8.227168,4.3081527,-0.43124056,7.0329595,-1.1774085
9.585647,9.689033,7.2371426,-0.7328865,-7.5379305,8.085271,4.4766746,-0.4769846,6.8836703,-0.87595963
9.633499,8.659298,6.071505,-0.68243265,-8.551552,8.147219,4.6092644,-1.7646646,7.80576,-2.0276418
9.60732,9.656398,7.263222,-0.65089774,-6.831529,8.027804,3.9539652,-0.18271786,7.015661,-0.8306877
9.521469,8.526699,5.9599495,-0.5871893,-8.493553,8.196517,4.441376,-2.00958,8.207541,-2.236423
9.606107,8.8893385,6.181382,-1.1157979,-8.218684,8.376386,4.061212,-1.6713283,7.1975956,-1.4491848
8.761592,9.267962,5.9845834,-0.30756727,-9.102033,7.7296014,4.865533,-1.5019759,8.196735,-1.6331097
9.788776,8.980668,6.7165527,-1.3315182,-8.080013,8.257403,4.180972,-1.0667443,7.368797,-1.9546016
8.63332,8.704479,6.1147566,-0.2316456,-8.207848,7.770584,4.5476093,-1.6596352,8.69282,-1.8292785
8.903173,8.425096,5.4992037,-0.67470735,-8.603478,8.205268,3.874428,-2.292457,8.60767,-2.074369
9.236732,9.432066,6.5502744,-0.55969846,-8.29434,8.006427,4.7040644,-1.1646038,7.1026287,-0.8538432
9.771841,9.319381,7.17676,-0.22698785,-5.6304593,7.9587927,3.378805,0.094682656,7.221665,-0.7130038
9.428783,9.805101,7.33694,-0.12536056,-7.088076,7.919548,4.726534,-0.27075905,7.0355983,-0.63179755
8.300581,9.151828,6.8236012,-0.81802267,-8.45436,7.8999395,4.8894486,-1.6675262,8.737908,-2.0268824
9.073166,9.464957,6.601654,-0.8386324,-8.5461235,8.060495,4.620695,-1.2988368,7.2917523,-1.0473564
9.766521,8.654174,6.5251,-0.69520205,-8.1115265,8.455105,4.350631,-1.8096393,7.6955686,-1.5815821
9.527823,9.786928,7.512943,-1.1995624,-7.7955203,8.376331,4.126132,-0.6806447,7.213221,-1.2209507
9.03058,8.381473,5.572584,-0.6323257,-8.469005,8.298264,3.7599247,-2.341438,8.637359,-2.0711527
9.076062,9.849318,7.4232225,-0.69516397,-7.736423,8.1103115,4.6216288,-0.77216953,7.566054,-1.1628023
9.316847,8.625222,5.890761,-0.53003407,-8.648901,7.9589868,4.696211,-1.6874436,8.144526,-2.133465
9.185705,8.416272,5.8612056,-0.7245311,-7.9878745,8.292687,3.7847729,-2.0338473,8.223556,-1.8134099
8.985012,9.601709,6.8321514,-0.456177,-7.8240533,8.120994,3.7923124,-0.7196694,8.119334,-1.1551994
8.2488575,9.151193,6.4225554,-0.64100456,-8.238305,8.041992,4.378989,-1.6264418,8.328046,-1.2088758
9.02379,8.552776,6.4549956,-1.4172158,-7.6072903,7.7622294,4.913119,-0.6483054,6.973776,-1.4378517
9.157323,8.437545,5.737678,-0.5682367,-8.642749,8.043541,4.622519,-2.109634,8.19933,-2.0525362
9.482027,8.508643,6.0671906,-0.70962554,-7.9465146,8.275191,3.8445332,-1.7571537,8.324099,-2.1632187
8.876282,8.825141,5.877796,-0.3582298,-8.509444,8.108856,4.0939155,-1.8355646,8.722505,-1.9432122
8.461177,8.747078,5.9824224,-0.20501192,-8.715641,8.026631,4.6969976,-2.2689912,8.940876,-1.8827043
9.7805605,8.653667,6.235442,-1.0939331,-8.063728,8.4277935,3.7448564,-1.4995196,7.5610576,-1.735433
9.326858,8.9141,6.4117417,-1.5468955,-7.8107157,8.675906,3.0836632,-1.6872984,7.728487,-1.5801297
9.102737,8.431625,5.532786,-0.64330715,-8.5144825,8.120963,3.8993466,-2.0243874,8.584815,-2.2812908
9.797181,9.277533,7.2072115,-0.20762628,-5.269556,7.9445143,3.160781,0.33310443,7.21603,-0.6024467
8.912316,8.489677,6.381414,-1.4762168,-7.545734,7.8151627,4.5696926,-0.76315403,7.268354,-1.5695754
9.368264,8.491797,5.8760233,-0.820725,-8.336664,8.419604,3.8971894,-2.187967,8.029204,-1.778682
9.61015,9.133109,6.525484,-0.30456764,-8.395706,8.088981,4.6396365,-1.3589797,8.164973,-2.0594087
9.015299,8.274124,5.3682923,-0.38061464,-8.656099,8.110894,4.1233478,-2.360295,8.711946,-2.2071254
9.698687,9.500842,7.219064,-0.8005932,-7.200633,8.092174,4.6049476,-0.29221082,6.688476,-0.9231738
9.748159,8.928755,6.200793,-0.506106,-8.484303,8.140557,4.5045443,-1.5276452,7.9072833,-2.081685
9.488365,9.402566,7.071038,-1.2846599,-7.836033,8.257511,4.2527885,-0.7798102,7.0143623,-1.1990448
9.60365,9.0863,6.470635,-0.39965037,-8.49358,7.99081,4.9148383,-1.2969877,7.843185,-1.9333786
9.773341,9.229062,7.144778,-0.15515019,-5.440326,7.953131,3.2491539,0.115746684,7.2736874,-0.70224077
9.675414,8.895229,6.390767,-0.5699543,-7.8329244,8.277635,3.7692637,-1.2598479,8.229869,-2.0461032
9.664817,9.126552,6.304374,-0.3492349,-8.477312,8.01071,4.5029445,-1.1619579,8.022031,-2.0244334
9.0634985,8.565615,5.680049,-0.24223486,-8.7484045,7.9576073,4.6182036,-2.066841,8.528388,-2.110459
8.904647,9.550227,7.00715,-0.7109608,-7.8650947,8.14129,3.9141219,-0.84633416,8.343678,-1.5509685
9.682376,8.975749,6.4083776,-1.0532666,-8.139053,8.334084,3.7568605,-1.2025578,7.759841,-1.8838668
9.650907,9.00339,6.320463,-0.78569394,-8.064532,8.320112,3.5636935,-1.1600691,8.13785,-2.0014539
9.823877,9.58069,7.2307982,-0.65042996,-7.153803,8.128795,4.4068236,-0.33228853,6.797047,-0.9524253
8.623329,8.730848,6.097262,0.030637354,-8.143858,7.6980357,4.7210555,-1.6589411,8.692015,-1.7310774
9.101476,8.243617,5.343114,-0.4724572,-8.633028,8.212814,3.9708276,-2.4374573,8.60477,-2.1421032
7.886594,9.174072,6.613717,-0.8669353,-8.3258915,7.935639,4.5176663,-1.6877177,8.727729,-1.5686427
9.284468,9.815626,7.266678,-1.1028144,-8.089692,8.223615,4.338919,-0.81775683,7.0984993,-0.9696633
9.284129,9.012293,6.5566707,-1.6194128,-7.6021733,8.613407,2.995531,-1.415433,7.744529,-1.6051319
8.698011,8.57764,5.764179,-1.1322441,-8.656744,8.013346,4.340628,-1.8959888,7.9131618,-1.7120972
9.082319,8.700827,5.833316,-0.3972345,-8.845817,7.9921403,4.689064,-1.9944798,8.438392,-2.1323993
8.940052,9.18372,6.8406262,-1.5002253,-8.10737,8.323118,3.9698353,-1.2884014,7.612267,-1.4073764
9.555957,9.122851,6.195872,-0.3595702,-8.225861,7.940855,4.6050706,-1.1411519,7.2319264,-1.1959597
9.428038,8.619708,5.692569,-0.8029253,-8.66128,8.341648,4.032115,-2.171482,7.8203783,-1.7545232
8.509941,8.767226,5.7641025,-0.7642068,-8.880666,7.8431506,4.5437465,-1.8583816,8.366657,-1.8633608
9.724489,9.7419,7.4734592,-0.9736792,-7.604607,8.273191,4.212252,-0.4541752,7.334313,-1.4510733
9.613966,9.580373,7.2969275,-0.4303624,-6.042897,7.931115,3.4957044,0.13136642,7.2073655,-0.7502114
9.239698,9.478171,6.4865084,-0.91254085,-8.489276,8.13271,4.2806497,-1.1881974,7.4502673,-1.3648072
9.665785,9.123131,6.5796676,-1.0990285,-7.895093,8.372582,3.5206723,-0.95507324,7.796679,-1.8291004
8.744173,9.087238,6.653079,-0.79578596,-8.33935,8.07297,4.380956,-1.5790588,8.70871,-2.1552997
8.700746,8.617166,6.3849154,-1.2669574,-7.611074,7.804439,4.50231,-0.8981998,7.6193743,-1.5610976
9.603404,9.53924,7.2889957,0.01712312,-5.41657,7.735055,3.310123,0.34710866,7.360105,-0.5223382
