UMAP_1,UMAP_2,UMAP_3,UMAP_4,UMAP_5,UMAP_6,UMAP_7,UMAP_8,UMAP_9,UMAP_10
6.698631,13.548054,8.242623,5.9078484,7.3177285,7.477426,8.093254,1.6600646,8.098845,2.5085895
6.9731727,13.05533,8.7903385,6.061508,7.903367,6.7580256,8.977004,1.660598,6.688591,2.2650156
7.147369,12.838173,7.91279,5.6316285,6.5926237,6.5056615,8.0048065,1.6911083,7.6282353,3.1121714
6.309804,12.630446,7.3296723,6.1832957,8.33368,7.2219343,7.451407,2.337427,7.705913,2.5887806
7.0189853,12.746711,7.822712,5.9873285,6.6635094,6.682105,7.862835,1.9418353,8.172977,3.0115016
6.754035,12.447155,8.225103,6.410663,6.5469475,6.708002,8.226913,1.85074,8.239088,2.5719953
6.7662654,13.814155,7.764069,5.4009724,6.785074,7.54858,7.610728,1.3264706,8.370648,2.8886857
6.516149,12.957675,7.9423113,5.2738633,6.7204833,6.6658125,7.693416,1.2525325,5.9666753,3.0120478
6.374134,12.103495,7.439569,6.7187304,8.557998,7.088219,7.7234173,2.6535072,8.109946,2.1735845
6.38524,13.572387,8.04755,5.6599455,6.8585787,7.265451,7.672813,1.3378768,7.1742134,2.7765002
6.341697,12.081977,8.622813,7.091949,7.6814666,6.9255214,8.772294,1.9822785,7.849994,1.5075275
6.379502,12.9451275,8.048511,6.5346365,8.337984,7.369625,8.1593075,2.088469,7.53832,1.923961
6.8464665,13.079905,7.439412,5.1620917,6.4956937,6.743835,7.448858,1.337934,7.366384,3.2266037
5.891022,12.220881,9.268442,6.8700852,7.9859734,6.856631,8.692264,2.145719,6.9088416,2.1064577
6.719266,11.93201,7.68384,6.577821,7.3296113,6.4951797,7.649232,2.565895,8.343294,2.7840955
6.3169975,11.972449,8.7146,7.001078,7.8608727,6.6281247,8.908099,2.0030255,6.76479,1.235347
7.2217226,13.106379,7.8436685,6.9455476,7.0654235,7.324246,8.759344,1.5793464,8.48662,1.6092665
6.7994003,12.828842,8.251944,6.1819634,7.9452305,6.8502316,8.730073,1.6527762,6.662339,1.8205191
6.3313975,12.029934,8.953841,6.650194,7.197794,6.60005,8.785833,1.743044,7.4787993,1.9838647
6.0138216,12.108752,9.303054,6.661197,7.741262,6.4791727,8.761336,1.7715608,6.5904374,2.3881485
7.050971,12.719988,7.214678,5.6702986,7.620289,6.8659596,7.6214147,2.1468248,8.085428,2.9198163
6.784162,12.457636,8.233717,6.795968,8.087321,6.9413195,8.818262,1.9809413,7.4739475,1.475135
6.9330087,13.076707,8.3977,5.9819355,6.733392,6.930251,8.245863,1.8309857,7.8793616,2.5291076
5.8163853,11.865349,8.749228,6.7573133,7.5543494,6.627171,8.328703,1.9779707,6.927978,1.9521518
6.8849163,12.935735,8.182216,6.6111665,7.2279644,7.265891,8.516885,1.7430826,8.487348,1.895712
7.1307783,12.814667,8.188721,5.973878,6.2053537,6.655565,8.263534,1.8102946,8.149687,2.876551
6.8473635,13.010609,7.608742,5.9673405,7.615216,7.125772,7.7035193,2.248471,8.070985,2.8221462
5.959808,11.887307,8.659428,7.3467364,7.968052,6.940842,8.690272,2.111841,7.3891788,1.3535296
6.961385,12.538988,8.228839,6.4478674,8.538115,6.798663,8.877683,2.0238066,7.1044793,1.5793113
6.312383,11.955511,8.65641,6.9376187,7.9517508,6.6124406,8.890074,1.9577204,6.702815,1.2603776
6.25953,12.670592,8.715427,6.813135,8.195893,7.120871,8.843406,1.8503398,6.7691045,1.4267174
7.028793,13.263062,7.929755,5.4834766,7.30624,6.953578,8.104251,1.7185699,7.282206,2.803732
7.340431,12.854983,6.70607,5.7532263,6.897798,6.7362804,7.339525,1.6700679,8.413636,2.7505395
6.9673495,12.906425,8.245545,6.384506,6.4096165,6.993557,8.497853,1.7666588,8.270955,2.3310332
6.4308696,13.147007,7.6928997,5.4760776,6.8353267,6.963985,7.4701934,1.5237606,7.229353,3.0255249
7.135675,12.987712,7.9384966,7.1459713,7.1925864,7.286664,8.849649,1.6294616,8.311771,1.4688479
7.033133,12.578054,8.137525,6.3372316,6.5479546,6.608058,8.108804,2.0865314,8.251298,2.8509216
