UMAP_1,UMAP_2
8.475762,9.1448145
5.8306456,10.526703
6.347789,11.368997
6.6594677,12.353189
18.411655,15.717452
18.866438,16.339499
5.9772367,10.770723
16.571884,14.342858
8.920443,12.268674
17.51141,14.640641
17.061996,17.58387
8.741302,11.249961
18.353886,14.877252
6.5286856,12.384655
7.517332,10.741273
16.50271,17.19995
8.030852,9.300584
7.703689,12.1727495
16.75874,16.802086
16.185501,15.378985
7.4774227,10.655862
8.998116,10.20689
18.100845,15.892383
8.508142,13.500134
8.596464,12.379978
18.667233,15.9531555
7.835912,9.997099
9.218068,12.92958
7.286759,12.329262
16.161219,16.873154
16.63131,17.330566
6.7321863,10.358653
18.904446,15.620945
18.526989,16.927698
6.253216,11.996832
17.947664,17.83486
18.594778,16.536367
17.999115,15.106332
18.57152,14.938203
17.51871,15.431112
16.169132,17.20161
8.295768,11.515099
8.676503,11.711078
9.4264345,9.879182
8.179076,11.753837
8.68061,12.466754
7.3826246,10.005897
16.980621,15.776374
15.58421,17.16012
6.658847,12.371901
17.24302,17.607218
16.83546,16.658216
5.7992606,10.718435
19.73848,14.714418
16.926247,15.453964
8.341655,11.99882
16.110104,16.944923
8.882431,10.2155695
16.964554,16.957706
9.2789955,12.985321
16.834167,15.439288
7.7466803,9.973198
6.8122683,10.241197
16.580378,16.49376
9.419964,11.013042
7.0887895,9.679334
19.29548,14.911203
9.317718,10.039963
19.774792,14.659032
8.567724,11.319779
6.889156,10.703583
17.288374,16.72541
8.597313,9.244632
18.06906,16.277296
6.892684,9.811143
16.037418,16.835497
8.776684,10.563941
18.811962,15.704025
9.165259,9.723299
18.381287,16.688704
17.852566,15.907643
7.6536946,10.052231
16.04982,17.2455
19.713009,14.673306
17.286535,17.412458
8.477848,10.558216
6.450237,11.842257
7.0946684,11.829618
18.844057,14.879234
17.921112,15.654808
17.772293,15.924568
6.1837807,11.629585
6.9674697,12.281909
17.760704,17.135103
6.361784,12.2323
15.938523,17.60408
7.6967835,9.526728
8.111617,10.68178
6.7627897,10.90367
19.483372,14.761023
7.6641974,10.46785
6.9645286,10.4578
8.642696,11.993018
18.558758,15.518472
16.75592,17.215258
18.110312,17.389418
6.1590285,12.130541
17.362764,16.7048
7.170699,13.007922
16.482489,17.690548
17.864725,15.409604
7.486374,11.264105
18.257164,14.877113
8.099072,10.075995
17.412668,15.785324
17.626028,16.906332
18.585485,15.985203
8.679534,12.733085
17.948168,15.977866
16.69609,17.269527
16.821012,17.789703
17.590277,15.957881
6.6988745,11.653213
7.00255,12.920462
16.471825,17.525148
8.45538,12.219636
16.157196,17.058542
15.542004,17.065691
17.852919,17.163633
17.822695,17.77284
8.7695675,12.401801
7.3524394,10.981643
7.0203533,11.829226
17.032278,17.794746
17.957952,16.14839
9.349736,12.980843
18.638983,15.275382
8.480335,12.542352
18.332758,16.162012
6.5986133,11.283099
19.715021,14.787308
8.558423,12.125035
17.041449,16.627964
9.101025,12.551022
7.5498743,9.894348
7.9713006,11.488738
8.639282,12.471323
18.751793,15.2028675
7.141651,13.084584
9.3450775,12.834226
16.117928,16.112316
18.405617,16.01108
17.750906,17.835243
8.961713,9.79123
16.163816,17.322874
7.6135135,9.343595
6.5643196,12.378953
17.26911,17.596382
16.05664,17.198437
18.340673,16.155931
7.4013352,10.6309595
17.440111,16.211443
17.998898,16.79442
16.905071,16.936085
16.656342,15.410842
19.67649,14.675525
6.830172,11.336885
18.106182,16.118486
7.4214444,12.694157
17.187052,14.967734
8.153,9.1989765
8.025697,11.098431
7.402066,10.320027
8.580496,12.554055
18.087896,16.828543
7.342142,13.049681
18.294796,16.510464
17.17558,17.63719
17.379774,17.415552
16.179184,16.214111
7.9795547,11.417429
6.295986,12.203873
9.363403,10.950702
7.534886,12.829015
18.590614,16.07263
18.487717,15.875209
6.600658,10.434359
17.24547,15.578193
17.121546,15.793763
17.851486,16.6104
16.451853,17.701385
9.008774,12.813395
19.253885,16.271158
8.150239,11.577926
17.226831,16.190456
16.946678,17.690414
9.133036,10.973761
8.440179,11.561903
15.924056,15.249713
17.983,17.904655
8.415471,10.562909
8.945672,13.161283
15.627926,17.174574
17.496777,16.340528
18.021358,16.733809
7.3719797,12.708997
6.845399,9.967659
9.024365,13.088797
18.652355,14.891508
16.153217,16.541918
17.934801,17.274822
18.27964,15.806854
7.6936407,10.173904
8.982612,12.4445
8.097225,11.851306
6.3595104,11.881399
16.138311,16.4098
17.552402,17.866804
18.378326,16.07611
6.797405,11.714684
8.26448,12.112772
17.652794,17.22808
19.559954,14.996174
15.908651,16.106787
16.410357,16.962158
7.636105,13.395742
8.05365,12.442037
9.349937,9.812775
7.409514,11.4850235
6.98063,12.124622
6.243998,11.889497
7.4122014,10.224149
7.4306674,13.146112
17.398252,14.699643
16.810522,17.471037
17.326437,15.207279
15.830333,16.080141
17.609833,17.010649
17.37992,16.834429
15.876221,17.662619
16.220772,16.84232
9.237514,9.628794
19.167967,15.875534
17.493353,17.233727
7.795868,10.282213
18.011114,15.973892
8.534694,9.324499
6.3836074,11.513406
7.065742,10.170934
19.78648,14.60706
17.582142,15.024945
17.585182,15.863341
6.923524,9.619477
7.343823,11.642746
8.836532,10.725976
8.363411,11.988414
7.6505833,9.751362
17.31556,17.91326
17.27269,16.482374
8.751921,10.726018
18.511717,16.373602
18.58677,16.03342
9.081589,9.948921
7.8512263,9.941545
17.293692,17.479334
7.868202,10.802027
18.02055,16.149696
6.292355,11.759432
7.367648,10.12169
18.38619,16.398932
6.703204,10.34219
9.3001795,11.614926
7.0097117,10.372938
7.464918,9.469321
6.0662837,11.632722
8.403544,12.152924
17.176537,16.92487
17.971262,15.394251
15.97623,16.43622
15.865162,16.453678
8.30708,9.412195
16.220371,16.623358
8.570398,11.848347
7.1154313,10.584895
6.6451,10.409612
16.536894,16.026623
18.401281,15.901239
6.709166,10.076985
16.220526,15.228128
17.66316,17.269716
18.375301,17.317904
18.233133,16.685703
6.810098,9.941814
15.982154,17.06469
6.2804375,12.309908
6.6096573,11.128765
17.467007,17.021389
9.232951,12.806198
16.521616,15.994049
7.687379,11.642876
19.692537,14.659596
19.277306,16.02799
