UMAP_1,UMAP_2,UMAP_3,UMAP_4,UMAP_5,UMAP_6,UMAP_7,UMAP_8,UMAP_9,UMAP_10
8.345941,12.422079,8.522956,7.4518266,4.256153,5.9388785,5.9621863,6.6630497,3.76287,5.0189285
9.225455,12.010914,9.409458,6.9272957,4.8643494,6.450042,4.75677,7.112672,3.4451385,5.3894877
9.140983,11.18643,7.705266,7.579044,3.488606,5.8003125,5.5143514,7.543641,3.920377,4.8159995
8.603338,12.233295,7.994958,7.7853665,4.103536,6.3000107,6.161263,7.0109797,3.9330094,4.7264814
8.665565,11.85163,7.6759434,7.937639,3.9199667,6.1384726,5.401666,7.3814526,4.4718328,4.9498844
8.15119,12.696586,7.446863,8.443205,4.406807,6.6015344,5.1005054,7.9223437,3.883766,4.4315543
8.75271,10.894916,6.911982,8.059603,2.651873,5.5120463,6.6252184,7.9144883,4.2467785,4.232827
9.143104,10.859393,8.304118,6.778419,3.1072037,5.6078944,6.5625253,7.8294454,3.3578742,4.7335105
8.226198,13.438455,8.226689,8.355644,5.2600627,7.183205,4.792969,7.5934772,3.2119317,4.4459176
8.319955,11.958374,8.383717,7.4041705,3.7874825,5.731429,6.235118,6.886708,3.6860323,4.8763475
8.584567,13.395532,8.369188,8.393409,5.29559,7.1824365,4.1549883,7.3190007,2.221137,4.611573
8.158018,12.695404,8.850473,7.26536,4.372817,5.6903367,5.739546,6.6607423,3.381863,5.311012
8.80766,10.969628,7.498607,7.6096463,2.9829416,5.614359,6.3547187,7.753992,3.9423778,4.4770103
9.1034,12.821443,9.121769,7.4115276,5.345738,7.1136513,5.214501,6.5107117,2.6844378,4.3236065
7.8137617,13.262848,7.6174245,8.604089,4.866257,7.06281,5.107464,8.301325,3.6293428,4.153335
9.425913,12.870774,9.402138,7.526799,5.555297,7.030727,4.2877545,7.2710905,2.4743288,5.268744
8.082277,12.82215,7.3617845,9.05027,4.350211,6.6298866,4.3437176,7.0632524,4.08853,5.2981744
9.244901,12.036701,9.307341,6.9885373,4.8565836,6.4423203,4.7239013,7.2481747,3.4172018,5.383158
9.107644,12.97866,7.8345313,7.9464483,4.939562,6.6321373,4.9881973,7.1640606,3.0211637,4.4136386
9.590901,12.47723,9.757458,6.8925323,5.485608,7.1922216,4.2429214,6.133967,2.4236073,4.5729675
8.753089,11.624431,7.9934597,7.4759035,3.8614795,5.9349923,5.612489,7.649275,4.6258593,5.1669827
8.833312,13.285893,8.603193,8.255254,5.475816,7.286991,4.0722866,7.293224,2.3044434,4.6009545
8.531306,12.295633,7.822884,7.836425,4.0944967,6.092178,5.840964,7.054869,4.247339,4.935274
9.251392,12.806007,8.596097,7.542486,5.0496635,6.606169,4.9923644,7.557224,2.08682,4.4090924
9.172233,12.857523,7.5791516,8.123487,4.7499485,6.389583,4.329575,7.4025345,2.9708986,4.773367
8.81305,11.672017,7.48463,7.8158975,3.7208426,5.969611,5.8794737,7.2376785,4.515565,4.7006207
8.635921,12.762421,8.749612,7.4648232,4.811726,6.659536,5.9994545,6.617575,3.408022,4.5910077
8.710509,13.404671,8.7863245,8.2882395,5.6394773,7.5570254,4.1782694,7.2372284,2.154009,4.4274235
9.495491,12.727227,9.550681,7.231352,5.473977,6.7187715,4.1987658,7.2566757,2.8407393,5.7015038
9.3302,12.963898,9.33409,7.6497765,5.578661,7.123305,4.218226,7.291845,2.3561077,5.1554637
9.169087,12.673764,9.671751,6.8328366,5.2046804,6.200705,5.0389686,6.975818,3.2591617,5.821404
8.976549,11.786238,8.559079,7.0761013,4.1529083,5.9842744,5.7211256,7.529519,3.9517665,5.1395926
8.114426,11.856245,7.84334,8.142409,3.7253013,5.985912,5.4928164,6.904059,4.160811,4.9318175
8.01854,12.741506,7.2675867,8.964365,4.206599,6.6862392,4.892949,6.976839,4.056092,4.89391
8.6151285,11.296308,7.5671835,7.7609916,3.202047,5.756516,6.434437,7.454489,3.9434466,4.424451
7.913341,12.913734,7.403857,9.320314,4.4141965,6.941225,4.2239633,6.970564,3.912903,5.2040257
8.7223625,12.089715,7.579696,8.158348,4.0997424,6.185912,5.0258064,7.061324,4.474873,5.1415234
8.533992,11.52267,7.7181287,7.802873,3.4456758,5.8740354,6.2397976,7.2863383,3.8995223,4.5424285
8.949793,11.274813,7.5675364,7.762794,3.437942,5.718793,5.36256,7.718184,3.8530042,4.8409495
8.749303,12.06877,8.764444,7.864761,4.4732976,6.8997793,5.9630322,6.628365,3.0731134,4.445188
9.283893,12.350185,9.374245,7.275206,5.0485473,6.77108,4.876745,7.7104506,2.1527407,4.9555426
8.686487,12.194529,8.77927,7.9286695,4.528048,6.720693,5.307209,6.785414,2.8826823,4.749753
8.369708,13.3681965,8.340642,8.319192,5.1945925,7.10093,4.594207,7.5113654,2.5427077,4.526561
8.710022,13.390607,8.900993,8.086214,5.469796,7.2460427,4.2766914,7.1215467,2.0527744,4.600657
9.13022,12.949023,7.8765,7.788919,4.903787,6.5733356,5.2777,7.107736,3.0977197,4.3004346
8.6186,13.352877,8.381054,8.414954,5.3570323,7.2673087,4.2148805,7.266689,2.414159,4.560293
