UMAP_1,UMAP_2
7.4648094,12.207836
8.645244,13.344735
5.9604483,11.414799
7.0333357,12.0457535
5.609523,11.798572
4.7400603,13.1021385
5.766871,10.122765
7.534804,10.462956
5.732418,15.160378
7.290641,11.330838
6.1998897,15.180749
8.344987,12.116772
6.3770375,10.714315
7.7249265,14.932077
4.128019,13.460328
7.771581,15.812789
4.577776,14.276514
8.659986,13.423957
6.5291348,14.474341
8.20525,14.863035
5.681055,11.604242
7.2682533,15.935829
6.5483723,12.167577
7.871942,15.415458
5.859762,14.427856
5.6865735,11.927647
7.247146,12.815629
6.8033285,16.25331
9.131298,14.462911
7.8342185,15.69869
8.637911,14.8985
8.008519,12.520447
4.508745,11.499893
5.0621095,12.449199
6.794679,11.19695
4.5517416,14.522232
5.1957736,12.957539
6.7390046,11.458951
5.777432,11.264946
7.473788,13.698019
8.086268,15.679689
7.2196302,13.635571
6.698942,15.451121
7.287763,16.11608
7.0824437,14.194116
6.6810236,15.785911
2.9310546,11.349394
8.27208,12.912125
8.648688,15.840593
7.4876776,15.18179
6.4340224,15.464783
8.131742,14.933735
6.388722,15.0620165
2.981343,11.196274
7.532968,13.35663
6.4967914,10.573566
7.764629,15.224611
7.021521,14.92099
7.8786016,14.625567
7.2709894,15.378312
7.409485,13.192101
4.9829445,11.505537
7.005869,13.5882225
7.7808805,14.4704275
9.228643,14.433522
7.723955,12.308118
4.1666946,11.264092
7.030006,15.669135
2.8170106,11.537831
9.478601,13.722484
3.429377,11.708669
6.1246023,14.6418085
8.24082,11.747424
7.2641263,12.343922
6.326187,11.0865965
8.84969,13.958573
6.3445735,12.637969
5.113916,11.881698
9.4299755,13.958845
5.2203107,13.081386
6.413184,12.674993
5.7082906,10.095272
8.912391,15.418397
3.370209,11.570187
9.283678,13.180041
7.823299,13.126823
6.6968155,11.3509245
5.0843797,14.12253
5.128739,11.447126
7.0412617,11.9497795
7.3968334,13.288219
6.068903,10.587938
8.097414,15.231101
5.3452125,14.566319
6.4134545,11.12492
7.6483183,16.516228
6.396863,12.839069
9.495184,14.12744
5.828437,13.136629
2.8878312,11.5286255
5.8179693,11.709681
6.102361,11.546056
6.8456836,14.552026
4.922061,11.690992
6.76334,15.329869
5.527378,14.283635
8.067822,14.761622
6.624315,13.694972
8.488452,15.114248
6.972807,16.23886
6.946369,12.830036
3.6678994,11.672389
6.0447383,10.786116
8.8369,14.175797
7.2408357,13.176633
6.201427,14.261268
5.429715,12.190165
6.9975514,16.340288
6.19645,11.74918
7.2199,14.970491
5.9503064,15.447271
6.3333898,12.986624
8.163689,13.795572
8.124025,11.764712
7.4014454,15.579489
5.727285,15.378499
7.296986,15.49592
8.5554495,15.939562
5.6830072,14.16172
4.791248,14.943481
6.9365897,15.997017
3.0551336,11.394718
8.204894,12.015294
6.213317,15.771268
7.202329,14.129024
7.155725,16.408106
5.941393,10.771056
6.8729053,14.4789505
6.2703733,12.672658
7.1987824,14.184856
3.4239032,11.677471
5.871665,14.540661
7.092486,14.295559
7.558107,15.560959
8.534489,13.327111
6.0775247,14.262455
6.0379767,14.373531
5.812523,11.276468
8.437957,15.349047
6.9413486,16.525982
9.175177,14.267821
6.084057,12.112873
4.6359506,14.765326
7.2782803,15.271042
7.577189,15.231777
6.547218,13.467562
7.016589,13.312265
6.115557,15.56577
7.932902,15.194348
5.622919,12.2709875
4.071059,11.509423
6.985803,13.386404
5.248939,13.591997
7.628174,14.31715
8.203535,12.4392
3.0813932,11.171035
5.004937,11.970496
5.636415,12.333378
7.315237,13.7398205
8.399913,11.856276
6.552061,12.858829
4.678836,13.903037
5.778645,11.654055
6.0773864,14.957258
5.514456,13.429326
6.3242073,11.349785
5.860971,13.415604
6.705152,15.313265
5.172648,14.87925
8.089045,13.553414
8.073503,11.923536
7.9205246,12.320374
8.057873,14.227504
6.6121163,13.080493
4.520748,11.852279
5.5700164,12.080237
6.215572,10.648903
7.911524,12.361337
8.03181,12.834702
6.321344,13.610033
7.011468,15.796582
6.893799,16.339102
4.2349353,13.692284
4.6853,13.980525
6.7293305,12.9524145
6.7739434,15.360585
5.8175836,14.8724165
6.025635,14.856116
8.306651,15.258691
4.5730567,14.459426
5.9998126,13.837724
7.6029572,15.568749
8.585956,15.692735
6.72508,13.98742
5.398946,13.506389
8.550804,15.425304
6.451181,11.867459
7.3179727,15.834803
5.760727,11.145589
8.467697,14.94367
5.8404565,13.961629
6.4022317,12.157685
7.864244,12.493846
6.3694816,15.752464
5.5820518,15.066964
5.268424,11.178485
8.267624,14.348767
5.8185406,14.990065
5.707332,12.377164
7.263031,11.746285
5.008847,14.813593
6.2166295,13.95869
3.8774471,11.39869
8.599465,14.27516
7.9211926,15.400469
8.009981,15.213385
8.45888,15.61512
7.6696734,14.855274
4.823421,14.266155
7.1089725,13.503171
6.761436,11.037399
5.814171,12.857924
8.05276,14.812232
8.079136,11.601423
6.716478,14.579783
7.3773003,12.159247
9.109322,13.6394005
6.189088,14.278921
6.182523,14.523574
7.2625394,16.577532
7.484819,15.22816
8.409229,11.892591
4.245897,13.111956
5.589047,13.8175
5.734409,12.115042
4.748157,12.076842
6.8797407,12.686589
8.756492,15.269371
6.4902163,14.680764
2.9282544,11.234246
7.3023524,11.684197
6.9121194,12.757395
4.2203526,11.74501
5.158572,13.660614
9.367441,13.372441
6.6918316,14.161877
7.1832976,11.845736
6.0474143,15.897578
6.908941,14.020654
9.322116,13.486846
5.890711,13.111846
5.6802173,11.970908
7.71558,13.905851
6.232916,12.113684
5.4813232,14.943026
4.2411103,13.256559
5.851316,11.914429
6.1671214,10.915169
9.059839,13.439059
5.503065,12.65859
5.6669455,12.80595
9.555078,14.721682
7.102223,11.893661
6.037259,11.862664
6.507951,10.662246
6.2769957,12.885661
6.6284,14.71858
6.271083,12.004457
8.826347,14.382318
9.119728,14.8244
4.7505684,13.823223
7.832521,14.992644
8.972539,14.523935
5.8138537,13.435881
5.892705,13.636584
8.8758955,13.428828
6.15044,12.465513
5.533818,13.747123
8.696304,12.622195
5.92485,14.43736
5.129233,14.231636
5.1672654,13.8266735
6.5511603,14.170749
7.629194,15.867822
7.3877907,11.27186
8.943966,12.986546
5.7434435,15.073633
7.11698,15.955924
8.177023,13.573132
8.142426,14.634705
2.9152591,11.579803
4.027014,13.378083
6.7697496,15.429451
4.753705,14.63391
7.3843007,14.423841
7.245662,14.808218
7.9080215,14.354961
6.9119997,14.974384
6.2677794,12.100541
4.1939535,13.615087
8.363951,14.440594
5.607935,10.005371
8.031821,12.296194
5.5409045,11.437602
4.6270423,14.756351
8.461249,14.0811
7.9924145,11.719599
8.187975,15.112388
3.380262,11.611622
6.678958,10.980675
4.157632,11.738654
7.0492992,15.614784
6.1436706,14.33084
6.610424,14.569536
8.961813,13.481657
7.35296,14.712269
3.4516146,12.237907
5.7452784,11.973771
7.4611535,14.878886
6.1583004,15.434378
8.918687,13.947342
3.7792182,11.814989
6.9528446,14.282029
6.355031,13.8302
5.795738,13.301445
7.4592276,13.441308
6.7829223,15.500132
8.426698,15.144202
5.8892007,12.264989
9.214867,14.244434
7.4802575,13.494413
5.472279,12.916287
8.435351,16.101099
7.056368,15.597087
9.370963,13.971548
8.578997,15.189036
8.506145,11.995406
5.7729115,12.584904
9.453705,14.057884
5.525061,11.874922
8.908626,13.960318
8.24402,14.504757
3.4190848,11.79406
6.884422,13.406998
7.551606,15.92107
5.9431105,13.211715
7.34658,15.995064
6.7540765,12.807044
7.158494,15.09161
6.9134407,13.4922695
7.313471,16.563028
7.22538,9.963839
6.0011992,11.254685
8.3228245,15.697936
7.7333555,12.001236
7.5435987,12.31475
5.061086,11.0401
5.359813,14.587137
8.674899,14.083362
5.6326895,13.157192
4.076811,13.115552
