#mpa_vOct22_CHOCOPhlAnSGB_202212
clade_name	sample_0	sample_1	sample_2	sample_3	sample_4	sample_5	sample_6	sample_7	sample_8	sample_9
d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39	7.466609999999999	2.994070000000001	10.236680000000003	5.365700000000001	6.9676	3.169069999999999	2.3943100000000004	4.306499999999998	4.626680000000001	6.12301
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Tissierellales	4.76426	0.27845	0.16875	0.95602	0.1194	0.42996	0.03272	0.00281	0.23795	0.1853
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales	19.01447	29.68985	12.98537	13.27319	12.59225	19.560889999999997	17.822640000000003	17.807810000000003	32.02416	10.03877
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales	2.62807	1.58974	0.7535299999999999	1.17792	0.52428	1.2624	1.20823	0.57579	0.95189	0.72545
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales	11.16316	8.610789999999998	8.533890000000003	9.877139999999995	7.839699999999998	7.766199999999999	15.488320000000002	26.14684	9.219490000000002	25.640930000000004
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales	1.98589	0.3849999999999999	0.4218299999999999	0.6106999999999999	0.6423800000000001	0.35903	0.90575	1.0726	0.31204	0.368
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales	2.38465	4.986370000000001	2.6640900000000003	4.143999999999999	5.40694	2.9428	3.90671	1.94073	1.4307600000000005	1.9417600000000004
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales	9.36295	13.90375	20.1188	23.72853	28.528070000000003	43.12380000000001	14.65237	7.33794	22.70472	11.99354
d__Bacteria;p__Verrucomicrobiota;c__Lentisphaeria;o__Victivallales	1.0509	0.40036	0.05759	0.0437	0.0	0.08487	0.21119	3.65985	0.08401	0.24236
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Christensenellales	3.1891099999999994	4.935980000000001	4.96066	4.7502200000000006	3.91443	6.663920000000001	4.628830000000001	4.22917	4.31516	16.38813
d__Bacteria;p__Cyanobacteria;c__Vampirovibrionia;o__Gastranaerophilales	0.7528600000000001	0.54791	0.6072200000000001	4.77233	5.529250000000001	0.06947	3.97511	3.3348400000000007	0.98563	3.45981
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales	0.62391	2.26748	0.44482	0.726	0.31517	0.73987	1.80573	0.8048500000000001	2.3512500000000003	2.05044
