#mpa_vOct22_CHOCOPhlAnSGB_202212
clade_name	sample_0	sample_1	sample_2	sample_3	sample_4	sample_5	sample_6	sample_7	sample_8	sample_9
k__Bacteria|p__Firmicutes|c__CFGB1763	0.005	0.0148794546875854	0.01988	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	21.7803	22.00990612183832	21.7767	21.60989	21.68998	21.73553	22.55265	21.62854	21.35818	21.77458
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	14.95372	15.19300697583462	15.44757	15.26546	15.25827	15.30942	14.57954	15.17561	15.60177	14.98025
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	11.55559	10.336729833884789	10.66857	11.05255	11.89148	10.93038	11.41849	11.11034	11.05578	10.25881
k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales	7.93015	7.0575772546019016	7.99536	7.53029	7.52907	7.79744	7.90163	7.671	7.47631	7.83014
k__Bacteria|p__Firmicutes|c__CFGB10312|o__OFGB10312	7.7928	7.841277351923289	8.36474	8.78839	8.46479	7.80648	8.10156	8.2837	8.23095	8.83473
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified	5.46501	5.595787992607168	5.54756	5.68569	5.19752	5.47153	5.57224	5.30139	5.46576	5.80853
k__Bacteria|p__Firmicutes|c__CFGB72899|o__OFGB72899	5.16431	4.77423510931218	5.46154	5.45742	4.90229	5.35576	5.11658	4.8773	5.05548	4.94852
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	4.42266	4.168502662939158	3.978	4.03206	4.07959	4.40093	4.46411	4.52178	4.15819	4.28036
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	3.88018	3.93860337190991	4.47409	3.36965	3.27388	3.75935	3.53576	3.91897	3.7198	4.23057
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified	2.84204	2.8385879379950905	2.80979	3.05274	3.01962	3.01142	2.97343	3.22443	3.14276	2.66751
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	2.26042	2.319730418006671	2.60478	2.47094	2.40362	2.31253	2.19125	2.36606	2.63651	2.7513
k__Bacteria|p__Bacteroidetes|c__CFGB653|o__OFGB653	1.91856	1.789264189603856	1.71684	1.63187	2.05831	1.93183	1.84821	1.96805	1.77961	1.50053
