genome_ID	OTU	NCBI_ID	novelty_category
MAG0187.0	187	2	known_strain
MAG0188.0	188	2	known_strain
MAG0189.0	189	2	known_strain
MAG0190.0	190	2	known_strain
MAG0191.0	191	2	known_strain
MAG0192.0	192	2	known_strain
MAG0193.0	193	2	known_strain
MAG0194.0	194	2	known_strain
MAG0195.0	195	2	known_strain
MAG0196.0	196	2	known_strain
MAG0197.0	197	2	known_strain
MAG0198.0	198	2	known_strain
MAG0199.0	199	2	known_strain
MAG0200.0	200	2	known_strain
MAG0201.0	201	2	known_strain
MAG0202.0	202	2	known_strain
MAG0203.0	203	2	known_strain
MAG0204.0	204	2	known_strain
MAG0205.0	205	2	known_strain
MAG0206.0	206	2	known_strain
MAG0207.0	207	2	known_strain
MAG0208.0	208	2	known_strain
MAG0209.0	209	2	known_strain
MAG0210.0	210	2	known_strain
MAG0211.0	211	2	known_strain
MAG0212.0	212	2	known_strain
MAG0213.0	213	2	known_strain
MAG0214.0	214	2	known_strain
MAG0215.0	215	2	known_strain
MAG0216.0	216	2	known_strain
MAG0217.0	217	2	known_strain
MAG0218.0	218	2	known_strain
MAG0219.0	219	2	known_strain
MAG0220.0	220	2	known_strain
MAG0221.0	221	2	known_strain
MAG0222.0	222	2	known_strain
MAG0223.0	223	2	known_strain
MAG0224.0	224	2	known_strain
MAG0225.0	225	2	known_strain
MAG0226.0	226	2	known_strain
MAG0227.0	227	2	known_strain
MAG0228.0	228	2	known_strain
MAG0229.0	229	2	known_strain
MAG0230.0	230	2	known_strain
MAG0231.0	231	2	known_strain
MAG0232.0	232	2	known_strain
MAG0233.0	233	2	known_strain
MAG0234.0	234	2	known_strain
MAG0235.0	235	2	known_strain
MAG0236.0	236	2	known_strain
MAG0237.0	237	2	known_strain
MAG0238.0	238	2	known_strain
MAG0239.0	239	2	known_strain
MAG0240.0	240	2	known_strain
MAG0241.0	241	2	known_strain
MAG0242.0	242	2	known_strain
MAG0243.0	243	2	known_strain
MAG0244.0	244	2	known_strain
MAG0245.0	245	2	known_strain
