UMAP_1,UMAP_2,UMAP_3,UMAP_4,UMAP_5,UMAP_6,UMAP_7,UMAP_8,UMAP_9,UMAP_10,UMAP_11,UMAP_12,UMAP_13,UMAP_14,UMAP_15,UMAP_16,UMAP_17,UMAP_18,UMAP_19,UMAP_20,UMAP_21,UMAP_22,UMAP_23,UMAP_24,UMAP_25,UMAP_26,UMAP_27,UMAP_28,UMAP_29,UMAP_30,UMAP_31,UMAP_32,UMAP_33,UMAP_34,UMAP_35,UMAP_36,UMAP_37,UMAP_38,UMAP_39,UMAP_40,UMAP_41,UMAP_42,UMAP_43,UMAP_44,UMAP_45,UMAP_46,UMAP_47,UMAP_48,UMAP_49,UMAP_50
8.049847,7.096226,6.0700526,5.426893,5.8802934,6.6488385,10.539211,5.764474,7.395515,6.3225355,3.9705963,5.2518573,5.1050806,2.572218,4.480498,5.456894,4.9855256,5.198432,3.5302684,4.219912,4.532045,6.113604,3.7603035,5.4193845,4.8528466,6.740169,4.4887905,4.965354,4.341905,5.9183273,4.7984376,3.6273844,4.0583396,5.3827634,4.2207217,5.7394176,4.6515927,6.699621,3.1375186,3.8867853,5.986874,6.5487638,6.3228464,5.6140947,6.3673997,6.625137,5.322572,4.02613,5.761062,5.091051
7.157916,6.7592783,6.156955,6.110114,5.513746,7.1880236,10.032518,5.6035953,7.363037,6.45745,3.8269036,4.7856607,5.1952453,2.9575427,4.272365,5.3580623,4.907648,5.383744,3.385776,4.133974,4.62039,6.34061,3.9550974,5.3406453,4.5932345,6.3800054,4.162064,4.6030774,3.8378177,6.166753,4.689158,3.5994709,4.352053,4.8686295,4.283472,5.9017544,4.7355695,6.6244636,3.3905118,3.7809236,6.4086804,6.3260427,6.503068,5.9602985,6.253338,6.3695316,4.8622913,3.9087937,5.3467884,4.8062625
7.879244,6.3554215,6.648644,5.295414,5.673172,6.239081,10.81685,6.1242146,7.7092123,6.77794,3.9098012,5.3462343,4.937791,2.491875,4.309765,5.264397,4.906084,5.0692225,2.8288667,4.08579,4.7123756,6.0135274,3.4064045,5.3321304,4.88108,6.811642,4.889323,4.872343,4.529494,6.026871,4.729569,3.7457008,3.9333386,5.5866623,3.895159,5.929515,4.482969,6.6126585,2.9163659,3.6750977,6.4228864,6.4762444,6.439696,5.464183,6.7094274,6.6760087,4.9216323,4.3522186,5.9624453,5.0270643
7.670777,6.1540008,6.639301,5.2389145,5.6678176,6.296838,10.941582,6.0859566,7.7863173,6.902489,3.695463,5.239288,4.9395623,2.7003918,4.2065005,5.247768,4.7568436,5.171147,2.694173,4.051181,4.9601436,6.0971828,3.372235,5.4728746,4.7966485,6.770262,4.9573426,4.912659,4.487013,5.995387,4.8103194,3.5978918,3.8894277,5.5611315,3.8004825,5.981723,4.37748,6.604723,2.866807,3.4680986,6.6872973,6.504793,6.3338146,5.5771847,6.612935,6.6305785,4.8674035,4.2161603,5.7781806,4.903312
6.915406,6.9113865,6.4059157,6.333305,5.2845554,7.331343,9.715662,5.6745505,7.2316346,6.4480667,3.8075519,4.7605906,5.066516,3.0048451,4.4990706,5.4163284,4.9904237,5.2752023,3.365142,4.121404,4.645244,6.202298,3.9775443,5.298987,4.7792306,6.3707757,4.25474,4.549946,3.7089632,6.127016,4.72377,3.5793312,4.235958,4.872924,4.4666033,5.8102207,4.6782885,6.536101,3.3721225,3.746096,6.306092,6.333421,6.453848,5.9639854,6.1785717,6.3217416,4.7889714,3.9856303,5.2401743,4.6473556
6.7755165,6.2058606,6.721884,6.1010933,5.2697153,6.9683537,10.121194,5.8088784,7.5646377,6.735128,3.6704843,4.829466,5.044299,2.9308934,4.1922684,5.2223663,4.8031645,5.3096914,2.846766,4.050525,4.886915,6.2429185,3.7301903,5.34368,4.6529903,6.3628883,4.526538,4.493508,3.9510472,6.1923313,4.6942363,3.5942514,4.2028613,5.0081687,4.072061,6.057278,4.5509534,6.5244126,3.2057989,3.5467706,6.753278,6.2806067,6.5369644,5.878237,6.442878,6.306044,4.5478516,4.07726,5.3775144,4.6812844
6.703032,6.0863743,6.992487,6.1093445,5.1388307,6.843893,10.162366,5.9456067,7.600946,6.8715296,3.6578274,4.887233,4.9099092,2.92236,4.2701497,5.217122,4.8434234,5.189807,2.6281478,3.9975677,4.960356,6.1281385,3.6190667,5.3091683,4.771446,6.4446764,4.7409186,4.509431,3.979943,6.1904454,4.692456,3.6390033,4.068484,5.128406,4.042355,6.032011,4.4540515,6.461277,3.0983417,3.4630501,6.8239603,6.300423,6.5264015,5.8278623,6.504734,6.3722177,4.4169545,4.242219,5.4312024,4.5854273
7.182252,6.3752384,6.164748,5.9642034,5.4789224,7.211727,10.254989,5.855497,7.509899,6.8203773,3.778296,4.811517,5.091953,2.8996851,4.2032485,5.2495766,4.9505997,5.293139,3.0483341,4.1147285,4.7366447,6.329206,3.664717,5.4092417,4.5276575,6.369842,4.2906322,4.6222615,3.9380991,6.17236,4.765472,3.5898197,4.339261,4.922881,4.235582,5.9871874,4.7442985,6.6735873,3.328407,3.6030998,6.4867992,6.4043922,6.4388223,5.981892,6.2870264,6.4313827,4.6768184,4.042087,5.361419,4.7615685
7.672269,7.0708838,5.924205,5.8743625,5.6723976,7.1736526,10.03948,5.7509418,7.2938404,6.3931775,4.023769,5.014686,5.156319,2.619087,4.4849606,5.410714,5.098657,5.190129,3.6079159,4.275849,4.405001,6.2021613,3.8483944,5.3877635,4.7517195,6.4560394,4.151272,4.731496,4.11635,5.980283,4.789586,3.6050205,4.263547,5.050275,4.4593797,5.791921,4.861652,6.6945815,3.347368,3.923422,5.843917,6.4850554,6.3985014,5.832779,6.2370825,6.4969115,5.0635033,4.0210147,5.549089,4.9880133
7.4458194,7.1509995,6.1131988,6.009098,5.616904,6.9864182,10.035565,5.590319,7.3546143,6.229975,3.9808986,4.9577165,5.2290573,2.8025484,4.447885,5.4662046,4.9228387,5.3538604,3.6495063,4.139663,4.4104104,6.2093773,4.0443707,5.205495,4.814124,6.5673556,4.203614,4.7088323,3.8336434,6.119258,4.6443086,3.652857,4.2595987,5.0137787,4.3709216,5.77884,4.727856,6.604202,3.3927107,3.9743001,6.150037,6.292924,6.5172896,5.7026515,6.349259,6.352487,5.206964,3.8819592,5.5426135,4.9844418
