UMAP_1,UMAP_2
11.4469595,14.560473
13.853568,13.022017
9.956763,14.077575
11.245101,13.777839
9.8901005,14.980864
10.6274395,17.089577
8.3713255,14.012558
12.427553,11.897965
13.571298,18.122879
10.9816675,12.63754
14.0569315,17.906605
12.996588,13.705518
9.56377,13.105014
14.887392,15.838146
10.402666,18.101145
16.007526,15.954664
11.229782,18.338388
13.739563,14.304727
13.561076,17.01624
14.854073,15.096074
9.579284,14.588128
14.934868,16.783407
10.98306,15.001556
15.544253,15.886189
12.695939,17.032557
9.899525,15.397422
12.590689,14.954097
15.377447,18.119696
15.713086,13.970953
16.069872,16.318375
15.184618,15.625286
12.127679,12.801443
8.946157,15.545091
10.323005,16.578539
10.017639,12.757419
11.332462,18.720133
11.019027,16.585943
10.550844,13.40475
9.42903,14.484668
13.085049,14.647796
15.55897,16.143042
13.114991,15.517537
14.344252,17.081867
15.750799,16.917658
13.486038,15.55714
14.425066,17.918556
7.509503,17.553852
13.010001,13.38869
16.5737,15.793937
14.583861,16.060781
13.592277,17.823078
14.887494,15.197019
12.677625,15.985812
7.6566143,17.223885
13.211355,13.586879
9.672138,13.046147
14.654093,15.614598
13.890508,17.002111
14.6638365,15.598462
15.116289,16.927042
12.67408,14.228958
9.4612465,15.840767
12.571854,15.416802
13.883795,15.269007
14.772254,13.511245
12.578649,14.244238
8.552587,15.879832
14.825895,16.834074
7.368098,17.83143
15.103871,13.005988
8.732568,17.702223
13.178834,16.8705
11.895188,13.310649
11.884042,14.385887
10.07038,13.567174
15.282831,14.369999
10.501824,14.680531
9.853534,16.501713
15.193215,13.681974
11.979967,16.946693
11.126443,14.489505
8.038921,13.575764
16.21874,15.013341
8.31785,17.40799
13.711784,12.771834
13.076263,13.613389
10.200058,13.497347
11.669506,17.791832
8.986091,15.516884
11.070652,13.985253
12.565619,14.597143
9.097572,13.254083
14.633094,16.344759
11.4837885,17.665443
10.670872,13.22705
16.535124,16.86276
11.81065,15.071814
15.404183,13.057385
11.462946,16.361105
7.8424764,17.747452
9.635485,15.127103
9.84701,14.388722
14.083805,16.46071
8.948582,15.359789
14.449102,16.9394
12.202181,16.858702
14.712632,14.967896
12.689739,16.224285
15.349441,15.590341
15.595259,17.575865
11.663822,14.245281
8.867319,17.108685
9.168527,13.735125
14.945911,13.811794
12.569043,14.410259
12.8074,16.507545
10.1472225,15.061291
15.279614,17.770483
10.769915,14.156579
14.547992,16.591549
13.897953,18.155533
11.894179,15.452839
13.727994,14.28811
11.804498,13.136066
15.25679,16.425343
13.412504,17.958633
14.928615,16.39726
16.423428,15.859304
12.517653,17.186455
12.461633,18.845871
15.349777,17.564554
7.7975125,17.456512
12.227835,13.884108
13.912564,18.00333
