UMAP_1,UMAP_2
7.245969,13.442439
8.604744,14.446556
5.470714,12.733238
6.793894,13.271916
5.095991,13.257304
4.3678207,14.731234
5.3591003,11.439651
7.705682,11.769091
5.886019,16.955116
7.011991,12.244223
6.483329,16.98558
8.253749,13.288203
6.055947,11.849309
7.927081,16.23151
3.7562084,15.411918
8.09462,17.473246
4.2041664,16.036343
8.566112,14.407803
6.634472,16.052073
8.436329,16.004326
5.1663427,12.843332
7.4969006,17.223696
5.7700634,13.85613
8.1502905,17.063917
5.7259574,16.037624
5.019317,13.355808
7.028184,14.090814
6.968545,18.057951
9.431927,15.757426
8.10348,17.42188
8.995731,16.378424
7.8301845,13.447264
4.1645527,13.350821
4.4823017,14.353656
6.58795,12.311305
4.2894053,16.34703
4.9027433,14.600444
6.564104,12.696861
5.5047545,12.519772
7.3280787,14.71763
8.26555,17.033808
7.0427837,15.157031
6.81438,17.16041
7.626518,17.90942
7.201344,15.488813
6.8586054,17.482298
2.1940672,13.5918045
8.176935,14.158332
9.079614,17.247484
7.7122455,16.561226
6.2987857,17.248037
8.40242,16.328623
6.463945,16.501865
2.3502579,13.335182
7.5377784,14.501148
6.225112,11.696661
7.9252586,16.533497
7.0885425,16.543104
8.185136,16.065649
7.4431577,16.906214
7.3310647,14.216279
4.4804287,12.914114
7.0564876,14.869507
7.611379,15.100731
9.4532795,15.175206
7.7032022,13.387954
3.8049824,13.150633
7.216612,17.312895
2.0051548,13.76767
9.672658,14.872362
2.9061565,14.032371
6.626642,15.978121
8.08644,12.820165
7.0767803,13.548164
5.9398956,12.289816
9.06654,15.623552
5.9395404,13.743098
4.628215,13.334023
9.615805,15.323363
4.976148,14.827738
5.2232575,14.0439825
5.248439,11.210197
9.265613,16.629221
2.807837,13.741984
9.016723,14.169293
7.773314,14.28824
6.270749,12.397057
4.8261523,15.851842
4.4415393,12.841989
6.6980863,13.099956
7.335145,14.487466
5.6823273,11.718895
8.222546,16.68071
5.1645265,16.217548
6.314928,12.316143
8.184968,18.184256
5.668921,14.391355
9.807536,15.113137
6.119976,14.805827
2.1829324,13.869166
5.2517858,13.106422
5.6739035,12.836907
6.9291434,16.173513
4.5705776,13.033827
6.9155807,17.002834
5.3777757,15.979027
8.258357,16.069126
6.7701488,15.349753
8.638138,16.475512
7.2843695,18.042728
6.6383467,13.775354
3.2774594,13.817669
5.571264,11.947682
8.963762,15.472087
7.0790315,14.471845
6.4184084,15.580535
5.052647,13.459487
7.201754,18.033264
5.9427958,13.02753
7.381512,16.49919
5.9333863,17.2757
6.4546175,14.522441
8.487622,15.2178
7.9835033,12.932931
7.6032934,17.224504
6.2155633,17.332045
7.502401,17.03992
9.030615,17.383507
5.465291,16.058958
4.7972865,16.891132
7.2030697,17.738203
2.4023912,13.602624
8.073254,13.194194
6.2751713,17.607973
7.1941757,15.814749
7.5046773,18.169487
5.4488792,12.083078
6.85156,16.044287
5.736308,14.025643
7.265928,15.461219
2.911438,13.775594
5.7735806,16.2125
7.202569,15.719221
7.8176513,17.163568
8.308458,14.46264
6.0527797,15.884334
5.810884,15.971542
5.301935,12.651317
8.812616,16.987324
7.223716,18.421343
9.343363,15.18334
5.5496063,13.483541
4.5014877,16.698357
7.5583196,16.84875
7.857787,16.691002
6.1431313,15.020041
6.908656,14.611593
6.0487814,17.230446
8.246943,16.68411
5.0138435,13.746696
3.4600308,13.273872
6.8342323,14.827952
4.9593496,15.260097
7.932379,15.901448
8.08235,13.769185
2.4990094,13.23138
4.462419,13.743873
5.175698,13.718097
7.1324744,15.242764
8.377207,12.8902445
6.5501685,14.127288
4.7043157,15.871596
5.2803674,13.010707
6.1292434,16.64264
5.283237,15.008935
6.0614247,12.51657
5.589868,14.912055
6.8073072,16.94274
5.252892,16.910309
8.1818905,14.709239
7.854621,13.029253
7.631518,13.738993
8.259635,15.48045
6.4154663,14.470556
4.077247,13.562536
4.989399,13.547662
5.8130836,11.796512
7.764956,13.550743
8.027452,13.98196
5.9028254,15.177315
7.0905094,17.516438
7.084171,18.147097
3.9559824,15.705384
4.318807,15.783605
6.3683496,14.355867
7.001799,17.00792
5.768682,16.567041
6.047261,16.509317
8.359658,16.518766
4.365283,16.17349
5.6621494,15.477826
7.73766,17.16723
8.947668,17.160667
6.797825,15.412992
5.217472,15.166433
8.857517,16.701714
6.332283,13.120053
7.597354,17.585417
5.298764,12.502087
8.694331,16.327805
5.459559,15.725834
6.1499763,13.536267
7.733748,13.553623
6.371812,17.56546
6.4460416,16.38778
5.108171,12.211818
8.462221,15.523979
5.4036765,16.712687
5.2012477,13.948847
7.0749927,12.884763
4.916356,16.60225
6.043683,15.561864
3.2404149,13.357604
8.763975,15.435787
8.11208,16.88611
8.354202,16.656406
8.8042755,17.04354
7.968629,16.373682
4.512042,16.073507
7.0081797,14.81689
6.5663247,12.252074
5.724276,14.346419
8.25071,16.19274
7.8947883,12.5862875
6.9856677,16.273827
7.1677537,13.47004
9.182854,14.846895
6.1048098,16.004293
6.18238,16.110407
7.6618676,18.40804
7.7249565,16.70608
8.412473,12.947256
3.8951533,14.902789
5.2339168,15.482781
5.240851,13.55297
4.3871183,13.737164
6.5992284,14.129387
9.159379,16.605843
6.624676,16.0613
2.2465918,13.324374
6.9896855,12.761657
6.5907173,14.321942
3.724265,13.548045
4.8916245,15.4557
9.454898,14.421634
6.716513,15.648993
6.6432343,13.102825
5.9760237,17.826391
6.917519,15.438078
9.439181,14.614539
5.6061106,14.548388
5.2006745,13.445298
