UMAP_1,UMAP_2,UMAP_3,UMAP_4,UMAP_5,UMAP_6,UMAP_7,UMAP_8,UMAP_9,UMAP_10
-7.341526,1.1977053,-0.16265288,18.576136,-0.5030776,9.2100315,2.4023225,-11.046432,-10.656369,16.642015
-7.186425,0.7465694,-0.049947917,19.350645,-0.29111573,9.292206,2.8922553,-11.600377,-9.937679,15.543252
-7.3385744,1.53822,-0.4560098,19.561617,-0.22854874,8.727148,2.74869,-10.466916,-10.346665,15.941774
-7.3410225,0.3147857,-0.8113741,18.670504,-0.1636654,9.602467,3.273027,-10.715968,-10.427968,16.725912
-7.2396493,1.7244112,-0.54362965,19.353077,-0.27868518,8.882995,2.4813628,-10.478651,-10.299669,16.001425
-7.05883,1.449137,-0.69802856,18.968546,-0.7804325,9.423703,2.2986867,-10.500038,-9.781493,16.020508
-7.1280785,0.96983343,-0.11229864,18.802742,-0.8376668,9.216773,2.2801366,-10.825604,-10.85299,16.424717
-7.5353785,0.3105241,-0.14796197,19.665625,-1.1537001,8.685826,3.328406,-10.769323,-9.936062,15.72159
-7.443658,0.19435723,-1.1101239,18.080223,-0.48195526,10.077147,3.0920744,-10.949505,-9.994384,16.76395
-7.4635754,1.2230693,-0.11069404,19.448408,-0.7858597,8.436285,2.8711386,-10.60063,-10.554576,16.12301
-7.1853194,0.41279465,-0.67158073,18.296318,-1.5341892,10.025698,2.3918493,-11.322458,-9.546662,15.974971
-7.57943,0.22519271,-0.4455578,18.282267,-0.6124958,9.8952055,2.964282,-11.258004,-10.226903,16.500366
-7.487956,1.3721772,-0.44449914,19.667171,-0.65199167,8.441587,2.9423435,-10.193044,-10.447737,16.047161
-7.184675,-0.20192781,0.11498459,19.07448,-1.1797925,9.960564,2.7802389,-11.1721325,-9.992133,16.07443
-7.344437,0.80981153,-0.96933055,18.449476,-0.32482776,9.762027,2.8963268,-10.520024,-9.885203,16.54507
-7.02069,0.0013734833,-0.17243913,18.641266,-1.4724323,9.877674,2.7074609,-11.456506,-9.193347,15.594388
-7.3540263,1.4563292,-0.8590904,18.314674,-0.486856,9.389002,2.2974353,-11.4069805,-10.075338,15.9753685
-7.4877563,0.5207979,-0.47046494,18.984339,-0.81305224,9.331217,2.7713757,-11.656786,-9.75194,15.401939
-7.308989,0.5599479,-0.6630179,18.877821,-1.5107229,9.934025,2.3761692,-11.008514,-9.584103,15.57799
-7.2239957,0.01673305,-0.029113388,19.673813,-1.1557405,9.778827,2.9624944,-10.964004,-9.824151,15.622241
-7.487444,1.0816568,-0.9462763,18.815893,0.2605836,9.2833185,3.0976698,-10.764441,-10.436571,16.526833
-7.2538495,0.28421354,-0.44705513,18.370642,-1.0192494,9.791374,2.7767262,-11.745823,-9.47777,15.753356
-7.030004,1.438494,0.1129943,19.159546,-0.6208161,9.107482,2.1729562,-10.71591,-10.264704,15.999183
-7.1974664,0.27939922,-0.18332691,19.328672,-1.4124274,9.332788,2.9635568,-10.505985,-9.892057,16.007877
