UMAP_1,UMAP_2
5.443404,14.706449
7.5391674,14.007022
4.604529,13.6547575
4.637672,16.61739
4.424192,13.9512
4.9642434,14.833895
3.6712499,13.198687
5.522135,11.829962
5.0890107,17.299837
5.879787,12.859243
6.4349627,16.372215
5.5907626,16.890364
4.5806026,12.789549
7.923935,16.351921
4.1898446,15.957641
7.658768,15.968427
4.915667,15.677846
7.434953,14.798376
6.6954393,15.362277
8.003715,15.64444
4.016721,14.2503195
6.4851065,16.387709
5.507313,14.163325
7.2629724,15.956631
5.653933,15.648822
4.7859054,14.130368
4.5129824,14.639996
7.108821,16.687164
8.061124,14.52706
7.654386,15.875773
7.931602,15.321527
5.1580796,13.621234
3.6214805,14.413182
5.1954107,14.555797
5.2715545,12.999368
5.1133113,15.840119
5.1277494,14.778414
5.3622775,13.092832
4.6784167,13.232621
5.001075,16.490814
7.724655,15.520796
6.272601,15.663564
5.516168,17.187582
7.3005514,16.66348
6.765337,15.155396
6.379567,16.592667
1.8485146,15.24986
6.697578,13.947158
8.446879,16.023085
5.6175427,16.375002
6.488143,16.751808
7.6558347,15.65608
4.5352373,17.277784
1.8303473,15.336622
6.972771,14.264716
4.6230316,12.738395
7.766871,15.669288
5.763594,16.056915
7.3812156,15.993605
7.531533,16.26021
6.407785,13.931878
4.0392895,14.094465
5.426419,14.918756
6.8008018,15.1040535
4.5008383,17.594887
3.7492554,14.91122
2.3721669,14.769328
7.2913866,16.552294
1.6902095,15.16027
5.5512433,17.270405
2.1092367,14.986098
5.7665234,16.225132
6.7553973,13.264234
5.7351694,14.330522
4.8084106,13.122527
7.8699045,14.606456
4.350016,17.179192
4.487059,13.942895
8.01615,16.599213
5.2097573,15.198066
5.239851,14.195421
3.5184548,13.099198
8.177863,16.036234
1.936583,15.008538
6.4601364,16.059439
4.656223,17.226786
4.8809767,13.387059
5.24857,16.279682
4.0469465,13.720265
5.692069,13.992745
7.2369037,13.987464
4.5300198,12.834241
4.6794934,17.249342
5.804757,15.653602
4.6650176,13.014658
7.4399548,16.998373
4.302212,15.167007
8.135527,14.205805
4.25359,14.531215
1.7357498,15.172196
3.3942153,15.344593
4.223907,13.859225
5.742036,16.675097
4.6331677,13.908218
6.93665,16.142822
6.063722,15.525374
7.776967,15.567685
6.5740957,15.302713
7.573918,15.257773
7.302151,16.622478
5.5126214,13.29379
2.1648114,14.886786
4.5614786,12.8276825
8.204065,14.802538
6.348042,14.640594
5.7836795,16.065405
3.973073,14.078396
6.265352,16.765278
5.548083,13.907381
7.487555,15.962817
6.156634,16.681276
5.44709,14.626401
7.843707,14.321684
6.9795103,15.849546
7.657918,16.259289
6.1992006,16.832243
7.455456,15.879156
8.449965,16.051493
5.875384,16.08084
5.3759055,15.898395
6.8735623,17.137835
1.8006623,15.041959
5.211028,16.291143
6.597478,16.632961
6.636011,14.989482
6.9123755,17.146858
4.4058223,13.035726
5.7649207,16.731592
4.824712,14.463977
6.70282,15.138566
1.985306,14.993996
5.4642024,16.517742
6.78381,15.196437
5.761775,17.47296
4.1926146,14.642331
5.757323,15.181884
5.681936,15.694597
4.146448,13.436917
7.6263194,15.317628
4.8418975,17.67319
8.1135235,14.333633
5.083835,14.120298
5.2283416,15.970342
5.53293,17.269108
7.853992,16.095701
3.7476301,14.958339
4.800359,17.144459
5.9686055,16.743778
7.5552926,16.318083
5.1297994,14.426377
3.0169384,14.821714
6.222311,14.726262
5.5261316,15.346222
6.8045087,15.543564
7.3590293,14.740073
1.9675045,15.331798
4.006901,13.997788
5.312745,14.064517
6.619184,15.320831
6.7905536,13.343557
3.7306714,14.833975
4.202137,15.980021
4.236861,14.43465
5.9325056,16.577314
5.566731,15.101742
4.949241,13.656923
5.4148555,15.21661
6.8021398,16.1391
6.20314,16.398987
7.8827677,14.288377
5.929966,16.351492
5.0578117,16.460787
4.4063754,17.779865
5.8822045,14.1416235
4.617546,14.242218
4.9151545,14.047375
4.5208535,12.831096
6.376038,14.23508
6.702473,13.990858
6.0219135,15.30809
7.2232256,16.503225
5.2129593,17.636427
4.1641617,15.78291
4.846452,15.533051
6.4680614,14.534452
7.0373487,15.693856
4.418324,17.364208
6.029322,16.485289
7.2946916,15.110162
5.068509,15.79901
4.3330197,16.939302
7.340295,16.366755
8.40729,16.10206
6.647289,15.227654
5.5712147,15.159202
8.373412,15.438999
4.0342584,14.698223
7.02051,16.66528
4.532316,13.192478
7.8449206,15.301271
5.78794,15.528975
5.098506,13.855624
4.0729055,15.068426
5.127249,17.52345
5.741107,15.956817
4.208955,13.561947
7.9898505,14.35623
4.722509,16.766523
5.2309585,14.348913
5.6155667,13.290252
5.5094366,15.888227
5.810509,15.622861
2.807534,14.630842
8.322667,14.81751
7.315976,16.38161
7.4737277,15.804928
7.7651014,15.079111
7.9334755,16.380253
5.245246,15.954112
4.5838985,17.208338
5.0426807,13.225761
4.5171285,15.354749
7.4257803,15.767937
6.6729774,13.145972
6.7094307,15.892529
5.919273,13.524675
8.346542,14.656348
6.429836,15.86003
6.9406986,15.11182
7.310754,16.907755
7.458742,15.619531
6.7601376,13.486262
4.2019024,15.546574
4.3144765,16.635572
3.920811,14.590778
5.2781105,14.266265
5.1174674,14.681716
8.384107,15.973134
5.0135674,15.187767
1.9098303,15.310171
5.960595,13.114097
6.0788536,14.387371
3.5902996,14.802699
5.1182218,15.349042
4.7021394,17.260971
4.893837,14.96272
4.02025,14.840309
5.1532083,17.5967
6.5299554,14.945441
4.6194754,17.06835
5.7368674,14.548861
4.648372,14.168218
7.3543787,16.455791
4.155956,15.345555
6.4062653,16.138525
4.168535,15.96791
4.0702314,14.214358
4.8052683,12.947237
7.412419,13.891924
5.1092706,14.453252
4.4033093,14.848771
8.725419,15.344547
5.679248,13.813107
4.2715306,14.446074
4.832972,12.837481
4.9723988,14.169349
6.5698466,16.012877
5.3059397,13.928887
8.058426,14.418196
8.435549,15.287814
4.8711076,15.583422
7.5670886,15.514435
7.9568663,14.727317
4.815039,15.180202
4.536991,14.8573
7.6096463,14.049556
4.7798223,14.905841
4.1067467,14.879685
6.9835606,13.88661
6.2415853,15.928772
5.7923336,15.500497
5.019959,15.343907
3.7803638,14.8707905
7.900866,16.034678
5.8962646,12.887348
6.711605,13.8982725
6.4652214,16.215322
7.253598,16.628164
7.748376,14.06495
7.961647,15.068147
1.6688045,15.001304
4.050402,15.735804
6.8639483,16.401167
5.3889003,15.799104
6.748459,15.54289
7.692388,16.106764
7.6697273,16.479343
6.815092,16.364119
5.3942046,14.219632
4.1562138,15.838696
8.368977,15.898197
3.5770662,13.156446
6.259848,15.014868
4.026588,14.15239
5.242423,15.950563
8.443587,15.660573
6.657363,13.127969
7.7650924,15.240015
2.1827042,15.059849
5.0136495,13.205517
3.4669418,14.945931
7.2937694,16.139698
6.098986,15.826445
5.1744986,16.969242
7.4542007,13.808753
7.2787056,15.903881
5.758143,16.348461
3.77741,14.836662
6.226302,15.260604
4.941874,17.524782
7.9983864,14.48557
3.0588496,15.329894
6.953767,15.38896
4.5122757,16.887415
5.406503,15.202266
4.496639,17.019165
6.680544,16.267328
7.5916724,15.290356
5.352983,14.136214
8.370547,14.693594
4.9337964,16.399527
4.084793,16.393568
8.3454685,16.243708
7.0379753,16.402163
7.962893,16.597815
7.6031404,15.240085
6.8695183,13.482448
5.2551193,13.661704
8.447566,14.563757
4.721415,13.821134
8.190658,14.854292
8.245459,16.024408
2.1472743,14.96423
5.7200975,14.352525
7.47782,16.07063
4.579303,15.6139765
7.4221344,16.261599
5.8878307,13.990662
5.8714657,15.908849
4.8661456,16.7427
6.9687176,17.016138
5.323638,11.694109
4.494382,13.168113
7.8788843,15.06828
6.042378,13.762671
5.991873,13.76064
3.9175746,13.923518
3.3616927,15.472851
8.15132,14.7485075
5.5877767,14.773805
4.009313,15.62497
1.7274338,15.144046
5.769814,14.659383
6.721055,16.478691
5.0955434,13.648844
4.3971796,15.276598
4.1098995,13.498517
8.447033,16.033083
2.7921655,14.649762
7.3677416,17.021732
6.7692857,14.629285
5.3989706,11.627411
4.461144,14.836617
7.0416226,13.462392
6.011743,15.366015
6.258691,14.785963
7.2165766,16.87387
2.0536256,14.952379
6.2054873,15.435408
7.4614725,14.065955
5.885988,14.555605
8.182732,14.392906
6.3586326,15.589806
4.7827225,13.762037
5.252137,14.972337
7.5702024,14.186927
5.6679215,15.225981
5.3226886,11.7014675
5.4859047,14.395031
2.0693517,15.3829775
5.021432,15.712392
4.701849,13.225503
7.7867403,14.003677
4.934261,15.285424
2.2900145,15.50444
8.222914,14.319284
8.587458,14.634041
7.0037084,14.913492
4.636414,13.211556
3.8270411,14.862792
1.8015108,15.183565
4.125779,15.675351
5.5409403,15.670599
7.421398,15.307348
8.608739,15.409702
5.4888315,17.50563
5.9175873,14.4623575
6.816918,15.047932
6.641276,13.720817
7.2157826,15.423471
8.31232,14.843975
5.9913487,13.569807
1.7025388,15.182851
3.5778625,13.15264
4.1485314,17.114622
5.9527946,14.979458
1.7407706,15.189997
5.62412,14.0553055
5.1844263,14.668604
6.622887,16.6162
6.7547297,13.309771
7.2899404,16.682354
5.878552,16.761711
4.4264174,14.974986
4.3520584,15.127375
8.251909,15.24984
7.397116,14.097863
4.257711,16.391415
4.820205,17.034424
5.9663014,15.058607
5.148654,13.025674
7.9761095,13.991787
4.5530777,14.713263
5.65879,14.730333
2.305807,15.203534
7.5286155,13.995061
4.1074667,15.7413435
5.2280455,17.411985
5.7810516,13.961898
8.515598,14.438285
4.903141,14.831403
8.614143,14.797718
4.2020082,13.82213
7.1217217,15.014355
8.28859,16.03262
4.1142783,15.614953
6.5186744,14.19171
7.203258,15.408101
6.892495,14.739782
4.856523,12.503868
4.968519,12.882523
4.6500373,15.98459
6.880927,16.586458
5.3538985,11.693103
7.9925227,15.598255
5.549949,14.409178
7.965999,16.63629
6.956759,16.60093
6.4186497,16.882296
5.723522,17.516798
7.783658,15.659284
1.8525556,15.268864
5.041316,14.205633
4.2345724,16.568527
6.716207,13.238825
7.3990397,16.989267
5.974634,14.184587
5.448188,15.534912
6.563296,14.435662
8.700625,15.311981
4.387636,17.773268
4.0881495,13.880404
5.562418,13.827801
5.8926215,16.77174
4.8019304,17.108671
4.429705,17.738306
5.721347,14.887966
7.327835,14.344627
6.8441124,17.03663
7.234861,14.10073
5.1476655,16.031027
5.067864,14.427368
4.2907977,15.932803
2.1223893,15.002387
7.8580565,16.306334
4.58814,16.518646
2.5791354,15.119039
5.2814775,15.993998
4.679841,13.219773
7.020743,16.2445
4.345673,14.852257
7.538431,15.243591
7.7999535,16.18051
6.047708,16.695583
3.5335999,13.205712
5.3381367,17.125984
4.999978,14.131292
6.2001867,15.768237
6.5361695,16.535023
5.662186,14.693328
7.640044,14.088542
4.659686,16.375694
4.8406816,14.292279
4.7964926,16.521124
4.5197034,16.57775
4.8705845,13.36134
7.7923756,14.198077
7.4404182,16.176603
6.9072313,15.434325
4.173002,13.926895
1.8247075,15.065718
6.682632,13.862247
6.6863823,13.276326
5.063001,14.140701
7.401436,14.502711
6.2694473,16.399904
4.8104615,16.931313
