#mpa_vOct22_CHOCOPhlAnSGB_202212
clade_name	sample_0	sample_1	sample_2	sample_3	sample_4	sample_5	sample_6	sample_7	sample_8	sample_9
k__Bacteria|p__Bacteroidetes|c__CFGB529	0.5262498996520852	0.33638	0.0	0.1284374786605723	0.67768	0.0	0.43937	0.0	0.0	0.02375
k__Bacteria|p__Bacteroidetes|c__CFGB2107	0.4876387315435372	0.11033	0.38887	0.0	1.46148	0.04453	1.16579	1.15462	0.05533	0.1245
k__Bacteria|p__Firmicutes|c__CFGB10325	0.4729439080318161	0.0	0.29754	0.0	0.0	0.0	0.06981	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB1311	0.4681118671106293	0.0	0.0	0.0	0.0	0.05431	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB3068	0.4627469469102837	0.2575	0.0	0.0	0.0	0.0	0.0	0.00387	0.00109	0.0
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia	0.4009781097887959	0.19154	0.0	0.0	0.0	0.05469	0.04093	0.3765	0.15753	0.40677
k__Bacteria|p__Firmicutes|c__CFGB9989	0.3710555834861946	0.0	0.0	0.0	0.0	0.0	0.17168	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB76769	0.3483766026392791	0.0	0.0	0.0	0.0487	0.0	0.0	0.0	0.06113	0.0
k__Bacteria|p__Firmicutes|c__CFGB2898	0.343860676544712	0.0	0.0	0.0186374147363694	0.04058	0.0	0.03014	0.00728	0.00117	0.02207
k__Bacteria|p__Bacteroidetes|c__CFGB642	0.2813151001349587	0.21097	0.09046	0.2276978258244611	0.27387	0.08703	1.39237	0.11921	0.11835	0.265
k__Bacteria|p__Firmicutes|c__CFGB2947	0.2675415255465292	0.0	0.0	0.0056919917387743	0.07756	0.22413	3.70852	0.0	0.0	0.0
k__Bacteria|p__Elusimicrobia|c__Elusimicrobia	0.2293638863430595	0.0	0.0	0.1003043328895012	0.25546	0.0	0.22013	0.0	0.0	0.02037
k__Bacteria|p__Firmicutes|c__CFGB1798	0.2068655425399265	0.0	0.0	0.0	0.02561	0.0	0.76616	0.04306	0.0	0.06021
k__Bacteria|p__Firmicutes|c__CFGB10314	0.1867967669756706	0.0	0.47072	0.0	0.00843	0.02261	0.08116	0.07444	0.0	0.0
